#Magnetic Field (Oe),Voltage (V) 
-50.00, -0.003938 
-49.00, -0.003938 
-48.00, -0.003938 
-47.00, -0.003938 
-46.00, -0.003938 
-45.00, -0.003938 
-44.00, -0.003938 
-43.00, -0.003938 
-42.00, -0.003938 
-41.00, -0.003938 
-40.00, -0.003938 
-39.00, -0.003938 
-38.00, -0.003938 
-37.00, -0.003938 
-36.00, -0.003938 
-35.00, -0.003938 
-34.00, -0.003938 
-33.00, -0.003938 
-32.00, -0.003938 
-31.00, -0.003938 
-30.00, -0.003938 
-29.00, -0.003938 
-28.00, -0.003938 
-27.00, -0.003939 
-26.00, -0.003939 
-25.00, -0.003939 
-24.00, -0.003939 
-23.00, -0.003939 
-22.00, -0.003939 
-21.00, -0.003939 
-20.00, -0.003939 
-19.00, -0.003939 
-18.00, -0.003939 
-17.00, -0.003940 
-16.00, -0.003940 
-15.00, -0.003940 
-14.00, -0.003940 
-13.00, -0.003941 
-12.00, -0.003941 
-11.00, -0.003942 
-10.00, -0.003942 
-9.00, -0.003943 
-8.00, -0.003944 
-7.00, -0.003946 
-6.00, -0.003948 
-5.00, -0.003951 
-4.00, -0.003954 
-3.00, -0.003958 
-2.00, -0.003966 
-1.00, -0.003974 
-6.22E-15, -0.003988 
1.00, -0.003999 
2.00, -0.004015 
3.00, -0.004020 
4.00, -0.004028 
5.00, -0.004029 
6.00, -0.004023 
7.00, -0.004016 
8.00, -0.004001 
9.00, -0.003991 
10.00, -0.003979 
11.00, -0.003972 
12.00, -0.003967 
13.00, -0.003961 
14.00, -0.003958 
15.00, -0.003955 
16.00, -0.003953 
17.00, -0.003951 
18.00, -0.003950 
19.00, -0.003948 
20.00, -0.003947 
21.00, -0.003946 
22.00, -0.003945 
23.00, -0.003944 
24.00, -0.003944 
25.00, -0.003943 
26.00, -0.003943 
27.00, -0.003943 
28.00, -0.003942 
29.00, -0.003942 
30.00, -0.003942 
31.00, -0.003941 
32.00, -0.003941 
33.00, -0.003941 
34.00, -0.003940 
35.00, -0.003940 
36.00, -0.003940 
37.00, -0.003940 
38.00, -0.003940 
39.00, -0.003940 
40.00, -0.003940 
41.00, -0.003940 
42.00, -0.003940 
43.00, -0.003940 
44.00, -0.003940 
45.00, -0.003940 
46.00, -0.003940 
47.00, -0.003939 
48.00, -0.003939 
49.00, -0.003939 
50.00, -0.003939 
51.00, -0.003939 
51.00, -0.003939 
50.00, -0.003939 
49.00, -0.003939 
48.00, -0.003939 
47.00, -0.003939 
46.00, -0.003940 
45.00, -0.003940 
44.00, -0.003940 
43.00, -0.003940 
42.00, -0.003940 
41.00, -0.003940 
40.00, -0.003940 
39.00, -0.003940 
38.00, -0.003940 
37.00, -0.003940 
36.00, -0.003940 
35.00, -0.003940 
34.00, -0.003940 
33.00, -0.003940 
32.00, -0.003940 
31.00, -0.003941 
30.00, -0.003941 
29.00, -0.003941 
28.00, -0.003942 
27.00, -0.003942 
26.00, -0.003942 
25.00, -0.003942 
24.00, -0.003942 
23.00, -0.003943 
22.00, -0.003944 
21.00, -0.003944 
20.00, -0.003946 
19.00, -0.003946 
18.00, -0.003947 
17.00, -0.003949 
16.00, -0.003950 
15.00, -0.003952 
14.00, -0.003955 
13.00, -0.003958 
12.00, -0.003963 
11.00, -0.003969 
10.00, -0.003975 
9.00, -0.003987 
8.00, -0.003996 
7.00, -0.004010 
6.00, -0.004018 
5.00, -0.004026 
4.00, -0.004028 
3.00, -0.004023 
2.00, -0.004019 
1.00, -0.004005 
-6.22E-15, -0.003994 
-1.00, -0.003979 
-2.00, -0.003971 
-3.00, -0.003962 
-4.00, -0.003958 
-5.00, -0.003954 
-6.00, -0.003950 
-7.00, -0.003949 
-8.00, -0.003946 
-9.00, -0.003945 
-10.00, -0.003944 
-11.00, -0.003944 
-12.00, -0.003942 
-13.00, -0.003942 
-14.00, -0.003941 
-15.00, -0.003941 
-16.00, -0.003941 
-17.00, -0.003940 
-18.00, -0.003940 
-19.00, -0.003940 
-20.00, -0.003940 
-21.00, -0.003940 
-22.00, -0.003939 
-23.00, -0.003939 
-24.00, -0.003939 
-25.00, -0.003939 
-26.00, -0.003939 
-27.00, -0.003939 
-28.00, -0.003939 
-29.00, -0.003939 
-30.00, -0.003939 
-31.00, -0.003939 
-32.00, -0.003939 
-33.00, -0.003939 
-34.00, -0.003939 
-35.00, -0.003938 
-36.00, -0.003938 
-37.00, -0.003938 
-38.00, -0.003938 
-39.00, -0.003938 
-40.00, -0.003938 
-41.00, -0.003938 
-42.00, -0.003938 
-43.00, -0.003938 
-44.00, -0.003938 
-45.00, -0.003938 
-46.00, -0.003938 
-47.00, -0.003938 
-48.00, -0.003938 
-49.00, -0.003938 
-50.00, -0.003938 
