#Magnetic Field (Oe),Voltage (V) 
-50.00, -0.003938 
-49.00, -0.003938 
-48.00, -0.003939 
-47.00, -0.003939 
-46.00, -0.003939 
-45.00, -0.003939 
-44.00, -0.003939 
-43.00, -0.003939 
-42.00, -0.003939 
-41.00, -0.003939 
-40.00, -0.003939 
-39.00, -0.003939 
-38.00, -0.003939 
-37.00, -0.003939 
-36.00, -0.003939 
-35.00, -0.003939 
-34.00, -0.003939 
-33.00, -0.003940 
-32.00, -0.003939 
-31.00, -0.003940 
-30.00, -0.003940 
-29.00, -0.003940 
-28.00, -0.003940 
-27.00, -0.003940 
-26.00, -0.003941 
-25.00, -0.003941 
-24.00, -0.003942 
-23.00, -0.003942 
-22.00, -0.003943 
-21.00, -0.003944 
-20.00, -0.003945 
-19.00, -0.003946 
-18.00, -0.003948 
-17.00, -0.003950 
-16.00, -0.003952 
-15.00, -0.003957 
-14.00, -0.003961 
-13.00, -0.003969 
-12.00, -0.003976 
-11.00, -0.003988 
-10.00, -0.003998 
-9.00, -0.004012 
-8.00, -0.004020 
-7.00, -0.004027 
-6.00, -0.004028 
-5.00, -0.004022 
-4.00, -0.004015 
-3.00, -0.004005 
-2.00, -0.003993 
-1.00, -0.003984 
-6.22E-15, -0.003976 
1.00, -0.003970 
2.00, -0.003964 
3.00, -0.003963 
4.00, -0.003959 
5.00, -0.003957 
6.00, -0.003954 
7.00, -0.003952 
8.00, -0.003950 
9.00, -0.003949 
10.00, -0.003948 
11.00, -0.003947 
12.00, -0.003946 
13.00, -0.003945 
14.00, -0.003945 
15.00, -0.003944 
16.00, -0.003944 
17.00, -0.003943 
18.00, -0.003943 
19.00, -0.003942 
20.00, -0.003942 
21.00, -0.003942 
22.00, -0.003942 
23.00, -0.003942 
24.00, -0.003941 
25.00, -0.003941 
26.00, -0.003941 
27.00, -0.003941 
28.00, -0.003941 
29.00, -0.003941 
30.00, -0.003941 
31.00, -0.003940 
32.00, -0.003940 
33.00, -0.003940 
34.00, -0.003940 
35.00, -0.003940 
36.00, -0.003940 
37.00, -0.003940 
38.00, -0.003940 
39.00, -0.003939 
40.00, -0.003939 
41.00, -0.003939 
42.00, -0.003939 
43.00, -0.003939 
44.00, -0.003939 
45.00, -0.003939 
46.00, -0.003939 
47.00, -0.003939 
48.00, -0.003939 
49.00, -0.003939 
50.00, -0.003939 
51.00, -0.003939 
51.00, -0.003939 
50.00, -0.003939 
49.00, -0.003939 
48.00, -0.003939 
47.00, -0.003938 
46.00, -0.003939 
45.00, -0.003939 
44.00, -0.003939 
43.00, -0.003939 
42.00, -0.003939 
41.00, -0.003939 
40.00, -0.003939 
39.00, -0.003939 
38.00, -0.003939 
37.00, -0.003939 
36.00, -0.003939 
35.00, -0.003939 
34.00, -0.003939 
33.00, -0.003939 
32.00, -0.003939 
31.00, -0.003939 
30.00, -0.003939 
29.00, -0.003940 
28.00, -0.003940 
27.00, -0.003940 
26.00, -0.003940 
25.00, -0.003940 
24.00, -0.003940 
23.00, -0.003940 
22.00, -0.003940 
21.00, -0.003941 
20.00, -0.003941 
19.00, -0.003942 
18.00, -0.003942 
17.00, -0.003942 
16.00, -0.003943 
15.00, -0.003943 
14.00, -0.003944 
13.00, -0.003944 
12.00, -0.003945 
11.00, -0.003946 
10.00, -0.003947 
9.00, -0.003948 
8.00, -0.003949 
7.00, -0.003951 
6.00, -0.003953 
5.00, -0.003955 
4.00, -0.003958 
3.00, -0.003961 
2.00, -0.003964 
1.00, -0.003969 
-6.22E-15, -0.003975 
-1.00, -0.003985 
-2.00, -0.003992 
-3.00, -0.004005 
-4.00, -0.004013 
-5.00, -0.004020 
-6.00, -0.004026 
-7.00, -0.004027 
-8.00, -0.004021 
-9.00, -0.004012 
-10.00, -0.003998 
-11.00, -0.003989 
-12.00, -0.003977 
-13.00, -0.003971 
-14.00, -0.003963 
-15.00, -0.003959 
-16.00, -0.003954 
-17.00, -0.003952 
-18.00, -0.003950 
-19.00, -0.003948 
-20.00, -0.003947 
-21.00, -0.003945 
-22.00, -0.003945 
-23.00, -0.003944 
-24.00, -0.003943 
-25.00, -0.003942 
-26.00, -0.003942 
-27.00, -0.003942 
-28.00, -0.003941 
-29.00, -0.003941 
-30.00, -0.003941 
-31.00, -0.003941 
-32.00, -0.003940 
-33.00, -0.003940 
-34.00, -0.003940 
-35.00, -0.003940 
-36.00, -0.003940 
-37.00, -0.003940 
-38.00, -0.003940 
-39.00, -0.003939 
-40.00, -0.003940 
-41.00, -0.003940 
-42.00, -0.003939 
-43.00, -0.003939 
-44.00, -0.003939 
-45.00, -0.003939 
-46.00, -0.003939 
-47.00, -0.003939 
-48.00, -0.003939 
-49.00, -0.003939 
-50.00, -0.003938 
