#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.003849 
-49.00, 0.003848 
-48.00, 0.003848 
-47.00, 0.003848 
-46.00, 0.003848 
-45.00, 0.003848 
-44.00, 0.003848 
-43.00, 0.003848 
-42.00, 0.003848 
-41.00, 0.003848 
-40.00, 0.003848 
-39.00, 0.003848 
-38.00, 0.003848 
-37.00, 0.003848 
-36.00, 0.003848 
-35.00, 0.003848 
-34.00, 0.003847 
-33.00, 0.003847 
-32.00, 0.003847 
-31.00, 0.003847 
-30.00, 0.003847 
-29.00, 0.003847 
-28.00, 0.003847 
-27.00, 0.003846 
-26.00, 0.003846 
-25.00, 0.003846 
-24.00, 0.003846 
-23.00, 0.003846 
-22.00, 0.003845 
-21.00, 0.003845 
-20.00, 0.003844 
-19.00, 0.003844 
-18.00, 0.003844 
-17.00, 0.003844 
-16.00, 0.003844 
-15.00, 0.003844 
-14.00, 0.003844 
-13.00, 0.003843 
-12.00, 0.003843 
-11.00, 0.003842 
-10.00, 0.003842 
-9.00, 0.003842 
-8.00, 0.003841 
-7.00, 0.003840 
-6.00, 0.003840 
-5.00, 0.003839 
-4.00, 0.003838 
-3.00, 0.003837 
-2.00, 0.003837 
-1.00, 0.003837 
-6.22E-15, 0.003838 
1.00, 0.003838 
2.00, 0.003843 
3.00, 0.003843 
4.00, 0.003849 
5.00, 0.003850 
6.00, 0.003852 
7.00, 0.003852 
8.00, 0.003853 
9.00, 0.003853 
10.00, 0.003853 
11.00, 0.003853 
12.00, 0.003853 
13.00, 0.003854 
14.00, 0.003853 
15.00, 0.003854 
16.00, 0.003854 
17.00, 0.003854 
18.00, 0.003854 
19.00, 0.003854 
20.00, 0.003854 
21.00, 0.003854 
22.00, 0.003854 
23.00, 0.003853 
24.00, 0.003853 
25.00, 0.003853 
26.00, 0.003853 
27.00, 0.003853 
28.00, 0.003853 
29.00, 0.003853 
30.00, 0.003853 
31.00, 0.003853 
32.00, 0.003853 
33.00, 0.003852 
34.00, 0.003853 
35.00, 0.003853 
36.00, 0.003852 
37.00, 0.003852 
38.00, 0.003852 
39.00, 0.003852 
40.00, 0.003852 
41.00, 0.003852 
42.00, 0.003852 
43.00, 0.003852 
44.00, 0.003852 
45.00, 0.003852 
46.00, 0.003852 
47.00, 0.003852 
48.00, 0.003852 
49.00, 0.003852 
50.00, 0.003852 
51.00, 0.003852 
51.00, 0.003852 
50.00, 0.003852 
49.00, 0.003852 
48.00, 0.003853 
47.00, 0.003853 
46.00, 0.003853 
45.00, 0.003853 
44.00, 0.003853 
43.00, 0.003853 
42.00, 0.003853 
41.00, 0.003853 
40.00, 0.003853 
39.00, 0.003853 
38.00, 0.003853 
37.00, 0.003853 
36.00, 0.003853 
35.00, 0.003853 
34.00, 0.003853 
33.00, 0.003854 
32.00, 0.003853 
31.00, 0.003854 
30.00, 0.003854 
29.00, 0.003854 
28.00, 0.003854 
27.00, 0.003854 
26.00, 0.003854 
25.00, 0.003854 
24.00, 0.003854 
23.00, 0.003854 
22.00, 0.003854 
21.00, 0.003854 
20.00, 0.003854 
19.00, 0.003854 
18.00, 0.003854 
17.00, 0.003854 
16.00, 0.003854 
15.00, 0.003854 
14.00, 0.003854 
13.00, 0.003854 
12.00, 0.003854 
11.00, 0.003854 
10.00, 0.003854 
9.00, 0.003854 
8.00, 0.003854 
7.00, 0.003854 
6.00, 0.003854 
5.00, 0.003853 
4.00, 0.003853 
3.00, 0.003852 
2.00, 0.003851 
1.00, 0.003846 
-6.22E-15, 0.003844 
-1.00, 0.003840 
-2.00, 0.003839 
-3.00, 0.003838 
-4.00, 0.003838 
-5.00, 0.003839 
-6.00, 0.003839 
-7.00, 0.003840 
-8.00, 0.003841 
-9.00, 0.003841 
-10.00, 0.003841 
-11.00, 0.003842 
-12.00, 0.003842 
-13.00, 0.003843 
-14.00, 0.003843 
-15.00, 0.003843 
-16.00, 0.003844 
-17.00, 0.003844 
-18.00, 0.003844 
-19.00, 0.003844 
-20.00, 0.003844 
-21.00, 0.003845 
-22.00, 0.003845 
-23.00, 0.003845 
-24.00, 0.003845 
-25.00, 0.003845 
-26.00, 0.003845 
-27.00, 0.003845 
-28.00, 0.003846 
-29.00, 0.003846 
-30.00, 0.003846 
-31.00, 0.003845 
-32.00, 0.003846 
-33.00, 0.003846 
-34.00, 0.003846 
-35.00, 0.003846 
-36.00, 0.003846 
-37.00, 0.003846 
-38.00, 0.003846 
-39.00, 0.003846 
-40.00, 0.003847 
-41.00, 0.003847 
-42.00, 0.003847 
-43.00, 0.003847 
-44.00, 0.003847 
-45.00, 0.003847 
-46.00, 0.003847 
-47.00, 0.003847 
-48.00, 0.003847 
-49.00, 0.003847 
-50.00, 0.003847 
