#Magnetic Field (Oe),Voltage (V) 
-10.00, 0.003830 
-9.80, 0.003829 
-9.60, 0.003829 
-9.40, 0.003829 
-9.20, 0.003829 
-9.00, 0.003829 
-8.80, 0.003829 
-8.60, 0.003829 
-8.40, 0.003828 
-8.20, 0.003828 
-8.00, 0.003828 
-7.80, 0.003828 
-7.60, 0.003828 
-7.40, 0.003828 
-7.20, 0.003828 
-7.00, 0.003827 
-6.80, 0.003827 
-6.60, 0.003827 
-6.40, 0.003827 
-6.20, 0.003827 
-6.00, 0.003826 
-5.80, 0.003826 
-5.60, 0.003826 
-5.40, 0.003826 
-5.20, 0.003826 
-5.00, 0.003825 
-4.80, 0.003826 
-4.60, 0.003825 
-4.40, 0.003825 
-4.20, 0.003825 
-4.00, 0.003825 
-3.80, 0.003824 
-3.60, 0.003825 
-3.40, 0.003824 
-3.20, 0.003824 
-3.00, 0.003824 
-2.80, 0.003824 
-2.60, 0.003823 
-2.40, 0.003823 
-2.20, 0.003823 
-2.00, 0.003823 
-1.80, 0.003823 
-1.60, 0.003823 
-1.40, 0.003823 
-1.20, 0.003823 
-1.00, 0.003823 
-0.80, 0.003822 
-0.60, 0.003822 
-0.40, 0.003822 
-0.20, 0.003822 
0.00, 0.003823 
0.20, 0.003822 
0.40, 0.003822 
0.60, 0.003823 
0.80, 0.003824 
1.00, 0.003823 
1.20, 0.003824 
1.40, 0.003825 
1.60, 0.003825 
1.80, 0.003826 
2.00, 0.003827 
2.20, 0.003827 
2.40, 0.003827 
2.60, 0.003828 
2.80, 0.003830 
3.00, 0.003830 
3.20, 0.003831 
3.40, 0.003833 
3.60, 0.003833 
3.80, 0.003834 
4.00, 0.003836 
4.20, 0.003836 
4.40, 0.003837 
4.60, 0.003837 
4.80, 0.003838 
5.00, 0.003838 
5.20, 0.003839 
5.40, 0.003839 
5.60, 0.003839 
5.80, 0.003839 
6.00, 0.003840 
6.20, 0.003840 
6.40, 0.003840 
6.60, 0.003840 
6.80, 0.003840 
7.00, 0.003841 
7.20, 0.003841 
7.40, 0.003841 
7.60, 0.003841 
7.80, 0.003841 
8.00, 0.003841 
8.20, 0.003841 
8.40, 0.003841 
8.60, 0.003841 
8.80, 0.003841 
9.00, 0.003841 
9.20, 0.003841 
9.40, 0.003842 
9.60, 0.003842 
9.80, 0.003842 
10.00, 0.003842 
10.00, 0.003842 
9.80, 0.003841 
9.60, 0.003842 
9.40, 0.003842 
9.20, 0.003841 
9.00, 0.003842 
8.80, 0.003841 
8.60, 0.003842 
8.40, 0.003842 
8.20, 0.003841 
8.00, 0.003841 
7.80, 0.003841 
7.60, 0.003841 
7.40, 0.003841 
7.20, 0.003841 
7.00, 0.003841 
6.80, 0.003841 
6.60, 0.003841 
6.40, 0.003841 
6.20, 0.003841 
6.00, 0.003841 
5.80, 0.003841 
5.60, 0.003841 
5.40, 0.003841 
5.20, 0.003841 
5.00, 0.003840 
4.80, 0.003840 
4.60, 0.003840 
4.40, 0.003840 
4.20, 0.003840 
4.00, 0.003840 
3.80, 0.003839 
3.60, 0.003839 
3.40, 0.003839 
3.20, 0.003839 
3.00, 0.003839 
2.80, 0.003839 
2.60, 0.003838 
2.40, 0.003838 
2.20, 0.003838 
2.00, 0.003838 
1.80, 0.003838 
1.60, 0.003837 
1.40, 0.003837 
1.20, 0.003836 
1.00, 0.003835 
0.80, 0.003835 
0.60, 0.003834 
0.40, 0.003833 
0.20, 0.003833 
0.00, 0.003832 
-0.20, 0.003831 
-0.40, 0.003830 
-0.60, 0.003830 
-0.80, 0.003829 
-1.00, 0.003829 
-1.20, 0.003829 
-1.40, 0.003828 
-1.60, 0.003827 
-1.80, 0.003827 
-2.00, 0.003826 
-2.20, 0.003825 
-2.40, 0.003825 
-2.60, 0.003824 
-2.80, 0.003823 
-3.00, 0.003823 
-3.20, 0.003823 
-3.40, 0.003824 
-3.60, 0.003824 
-3.80, 0.003824 
-4.00, 0.003824 
-4.20, 0.003824 
-4.40, 0.003825 
-4.60, 0.003825 
-4.80, 0.003825 
-5.00, 0.003825 
-5.20, 0.003825 
-5.40, 0.003826 
-5.60, 0.003826 
-5.80, 0.003826 
-6.00, 0.003826 
-6.20, 0.003826 
-6.40, 0.003826 
-6.60, 0.003826 
-6.80, 0.003827 
-7.00, 0.003827 
-7.20, 0.003827 
-7.40, 0.003827 
-7.60, 0.003827 
-7.80, 0.003827 
-8.00, 0.003827 
-8.20, 0.003827 
-8.40, 0.003827 
-8.60, 0.003827 
-8.80, 0.003828 
-9.00, 0.003828 
-9.20, 0.003828 
-9.40, 0.003828 
-9.60, 0.003828 
-9.80, 0.003828 
-10.00, 0.003828 
