#Magnetic Field (Oe),Voltage (V) 
-10.00, -0.003939 
-9.00, -0.003939 
-8.00, -0.003939 
-7.00, -0.003939 
-6.00, -0.003940 
-5.00, -0.003940 
-4.00, -0.003940 
-3.00, -0.003940 
-2.00, -0.003940 
-1.00, -0.003940 
0.00, -0.003940 
1.00, -0.003940 
2.00, -0.003941 
3.00, -0.003941 
4.00, -0.003941 
5.00, -0.003941 
6.00, -0.003941 
7.00, -0.003942 
8.00, -0.003942 
9.00, -0.003942 
10.00, -0.003942 
11.00, -0.003942 
12.00, -0.003943 
13.00, -0.003943 
14.00, -0.003944 
15.00, -0.003944 
16.00, -0.003944 
17.00, -0.003945 
18.00, -0.003945 
19.00, -0.003946 
20.00, -0.003947 
21.00, -0.003947 
22.00, -0.003948 
23.00, -0.003949 
24.00, -0.003950 
25.00, -0.003952 
26.00, -0.003953 
27.00, -0.003954 
28.00, -0.003956 
29.00, -0.003957 
30.00, -0.003961 
31.00, -0.003964 
32.00, -0.003970 
33.00, -0.003975 
34.00, -0.003985 
35.00, -0.003992 
36.00, -0.004002 
37.00, -0.004008 
38.00, -0.004013 
39.00, -0.004013 
40.00, -0.004010 
41.00, -0.004005 
42.00, -0.003997 
43.00, -0.003991 
44.00, -0.003984 
45.00, -0.003976 
46.00, -0.003971 
47.00, -0.003965 
48.00, -0.003961 
49.00, -0.003957 
50.00, -0.003954 
51.00, -0.003951 
52.00, -0.003949 
53.00, -0.003947 
54.00, -0.003946 
55.00, -0.003945 
56.00, -0.003944 
57.00, -0.003943 
58.00, -0.003943 
59.00, -0.003942 
60.00, -0.003942 
61.00, -0.003941 
62.00, -0.003941 
63.00, -0.003940 
64.00, -0.003940 
65.00, -0.003940 
66.00, -0.003939 
67.00, -0.003939 
68.00, -0.003939 
69.00, -0.003939 
70.00, -0.003939 
71.00, -0.003938 
72.00, -0.003938 
73.00, -0.003937 
74.00, -0.003937 
75.00, -0.003937 
76.00, -0.003937 
77.00, -0.003937 
78.00, -0.003937 
79.00, -0.003937 
80.00, -0.003937 
81.00, -0.003937 
82.00, -0.003937 
83.00, -0.003937 
84.00, -0.003937 
85.00, -0.003937 
86.00, -0.003937 
87.00, -0.003937 
88.00, -0.003937 
89.00, -0.003937 
90.00, -0.003937 
90.00, -0.003937 
89.00, -0.003937 
88.00, -0.003936 
87.00, -0.003937 
86.00, -0.003937 
85.00, -0.003937 
84.00, -0.003937 
83.00, -0.003937 
82.00, -0.003937 
81.00, -0.003937 
80.00, -0.003937 
79.00, -0.003937 
78.00, -0.003937 
77.00, -0.003937 
76.00, -0.003938 
75.00, -0.003938 
74.00, -0.003938 
73.00, -0.003938 
72.00, -0.003938 
71.00, -0.003938 
70.00, -0.003939 
69.00, -0.003939 
68.00, -0.003939 
67.00, -0.003939 
66.00, -0.003939 
65.00, -0.003940 
64.00, -0.003940 
63.00, -0.003941 
62.00, -0.003941 
61.00, -0.003941 
60.00, -0.003942 
59.00, -0.003942 
58.00, -0.003943 
57.00, -0.003943 
56.00, -0.003945 
55.00, -0.003945 
54.00, -0.003947 
53.00, -0.003948 
52.00, -0.003950 
51.00, -0.003952 
50.00, -0.003955 
49.00, -0.003958 
48.00, -0.003962 
47.00, -0.003966 
46.00, -0.003973 
45.00, -0.003978 
44.00, -0.003986 
43.00, -0.003993 
42.00, -0.003999 
41.00, -0.004006 
40.00, -0.004010 
39.00, -0.004012 
38.00, -0.004010 
37.00, -0.004004 
36.00, -0.003999 
35.00, -0.003989 
34.00, -0.003982 
33.00, -0.003973 
32.00, -0.003968 
31.00, -0.003963 
30.00, -0.003961 
29.00, -0.003958 
28.00, -0.003956 
27.00, -0.003954 
26.00, -0.003953 
25.00, -0.003952 
24.00, -0.003951 
23.00, -0.003950 
22.00, -0.003949 
21.00, -0.003948 
20.00, -0.003947 
19.00, -0.003947 
18.00, -0.003946 
17.00, -0.003946 
16.00, -0.003945 
15.00, -0.003945 
14.00, -0.003944 
13.00, -0.003944 
12.00, -0.003943 
11.00, -0.003943 
10.00, -0.003942 
9.00, -0.003942 
8.00, -0.003942 
7.00, -0.003942 
6.00, -0.003942 
5.00, -0.003941 
4.00, -0.003941 
3.00, -0.003941 
2.00, -0.003941 
1.00, -0.003941 
0.00, -0.003941 
-1.00, -0.003941 
-2.00, -0.003940 
-3.00, -0.003940 
-4.00, -0.003940 
-5.00, -0.003940 
-6.00, -0.003940 
-7.00, -0.003940 
-8.00, -0.003940 
-9.00, -0.003940 
-10.00, -0.003940 
