#Magnetic Field (Oe),Voltage (V) 
-80.00, -0.003936 
-79.00, -0.003937 
-78.00, -0.003936 
-77.00, -0.003936 
-76.00, -0.003936 
-75.00, -0.003936 
-74.00, -0.003936 
-73.00, -0.003936 
-72.00, -0.003936 
-71.00, -0.003936 
-70.00, -0.003937 
-69.00, -0.003937 
-68.00, -0.003937 
-67.00, -0.003937 
-66.00, -0.003937 
-65.00, -0.003937 
-64.00, -0.003937 
-63.00, -0.003937 
-62.00, -0.003937 
-61.00, -0.003937 
-60.00, -0.003937 
-59.00, -0.003937 
-58.00, -0.003937 
-57.00, -0.003938 
-56.00, -0.003938 
-55.00, -0.003938 
-54.00, -0.003938 
-53.00, -0.003938 
-52.00, -0.003938 
-51.00, -0.003938 
-50.00, -0.003938 
-49.00, -0.003939 
-48.00, -0.003939 
-47.00, -0.003939 
-46.00, -0.003939 
-45.00, -0.003939 
-44.00, -0.003940 
-43.00, -0.003940 
-42.00, -0.003940 
-41.00, -0.003941 
-40.00, -0.003941 
-39.00, -0.003942 
-38.00, -0.003942 
-37.00, -0.003943 
-36.00, -0.003943 
-35.00, -0.003944 
-34.00, -0.003945 
-33.00, -0.003946 
-32.00, -0.003948 
-31.00, -0.003949 
-30.00, -0.003951 
-29.00, -0.003953 
-28.00, -0.003956 
-27.00, -0.003959 
-26.00, -0.003963 
-25.00, -0.003967 
-24.00, -0.003973 
-23.00, -0.003979 
-22.00, -0.003987 
-21.00, -0.003994 
-20.00, -0.004004 
-19.00, -0.004010 
-18.00, -0.004016 
-17.00, -0.004022 
-16.00, -0.004023 
-15.00, -0.004022 
-14.00, -0.004018 
-13.00, -0.004009 
-12.00, -0.004002 
-11.00, -0.003992 
-10.00, -0.003985 
-9.00, -0.003978 
-8.00, -0.003973 
-7.00, -0.003968 
-6.00, -0.003965 
-5.00, -0.003962 
-4.00, -0.003960 
-3.00, -0.003957 
-2.00, -0.003955 
-1.00, -0.003954 
2.22E-15, -0.003952 
1.00, -0.003950 
2.00, -0.003949 
3.00, -0.003948 
4.00, -0.003947 
5.00, -0.003947 
6.00, -0.003946 
7.00, -0.003945 
8.00, -0.003944 
9.00, -0.003944 
10.00, -0.003943 
11.00, -0.003943 
12.00, -0.003942 
13.00, -0.003942 
14.00, -0.003942 
15.00, -0.003941 
16.00, -0.003941 
17.00, -0.003941 
18.00, -0.003941 
19.00, -0.003941 
20.00, -0.003940 
21.00, -0.003940 
21.00, -0.003940 
20.00, -0.003940 
19.00, -0.003941 
18.00, -0.003941 
17.00, -0.003941 
16.00, -0.003941 
15.00, -0.003942 
14.00, -0.003942 
13.00, -0.003942 
12.00, -0.003943 
11.00, -0.003943 
10.00, -0.003943 
9.00, -0.003944 
8.00, -0.003944 
7.00, -0.003945 
6.00, -0.003945 
5.00, -0.003946 
4.00, -0.003947 
3.00, -0.003948 
2.00, -0.003948 
1.00, -0.003950 
2.22E-15, -0.003951 
-1.00, -0.003952 
-2.00, -0.003954 
-3.00, -0.003956 
-4.00, -0.003958 
-5.00, -0.003960 
-6.00, -0.003964 
-7.00, -0.003967 
-8.00, -0.003972 
-9.00, -0.003976 
-10.00, -0.003983 
-11.00, -0.003989 
-12.00, -0.003999 
-13.00, -0.004005 
-14.00, -0.004014 
-15.00, -0.004019 
-16.00, -0.004023 
-17.00, -0.004022 
-18.00, -0.004017 
-19.00, -0.004011 
-20.00, -0.004005 
-21.00, -0.003995 
-22.00, -0.003989 
-23.00, -0.003980 
-24.00, -0.003975 
-25.00, -0.003969 
-26.00, -0.003966 
-27.00, -0.003961 
-28.00, -0.003958 
-29.00, -0.003954 
-30.00, -0.003952 
-31.00, -0.003950 
-32.00, -0.003948 
-33.00, -0.003947 
-34.00, -0.003946 
-35.00, -0.003944 
-36.00, -0.003943 
-37.00, -0.003943 
-38.00, -0.003942 
-39.00, -0.003941 
-40.00, -0.003940 
-41.00, -0.003940 
-42.00, -0.003940 
-43.00, -0.003940 
-44.00, -0.003939 
-45.00, -0.003939 
-46.00, -0.003939 
-47.00, -0.003938 
-48.00, -0.003938 
-49.00, -0.003938 
-50.00, -0.003938 
