#Magnetic Field (Oe),Voltage (V) 
-50.00, -0.003953 
-49.00, -0.003954 
-48.00, -0.003954 
-47.00, -0.003954 
-46.00, -0.003954 
-45.00, -0.003954 
-44.00, -0.003954 
-43.00, -0.003954 
-42.00, -0.003954 
-41.00, -0.003955 
-40.00, -0.003954 
-39.00, -0.003955 
-38.00, -0.003955 
-37.00, -0.003955 
-36.00, -0.003955 
-35.00, -0.003955 
-34.00, -0.003955 
-33.00, -0.003956 
-32.00, -0.003956 
-31.00, -0.003956 
-30.00, -0.003956 
-29.00, -0.003956 
-28.00, -0.003956 
-27.00, -0.003957 
-26.00, -0.003957 
-25.00, -0.003957 
-24.00, -0.003957 
-23.00, -0.003958 
-22.00, -0.003958 
-21.00, -0.003958 
-20.00, -0.003959 
-19.00, -0.003959 
-18.00, -0.003960 
-17.00, -0.003961 
-16.00, -0.003961 
-15.00, -0.003962 
-14.00, -0.003963 
-13.00, -0.003964 
-12.00, -0.003965 
-11.00, -0.003967 
-10.00, -0.003971 
-9.00, -0.003975 
-8.00, -0.003979 
-7.00, -0.003988 
-6.00, -0.003997 
-5.00, -0.004012 
-4.00, -0.004023 
-3.00, -0.004033 
-2.00, -0.004044 
-1.00, -0.004047 
-6.22E-15, -0.004045 
1.00, -0.004040 
2.00, -0.004027 
3.00, -0.004022 
4.00, -0.004008 
5.00, -0.003999 
6.00, -0.003990 
7.00, -0.003984 
8.00, -0.003979 
9.00, -0.003976 
10.00, -0.003972 
11.00, -0.003970 
12.00, -0.003968 
13.00, -0.003967 
14.00, -0.003966 
15.00, -0.003964 
16.00, -0.003964 
17.00, -0.003963 
18.00, -0.003962 
19.00, -0.003961 
20.00, -0.003961 
21.00, -0.003960 
22.00, -0.003961 
23.00, -0.003960 
24.00, -0.003959 
25.00, -0.003959 
26.00, -0.003959 
27.00, -0.003959 
28.00, -0.003958 
29.00, -0.003958 
30.00, -0.003958 
31.00, -0.003958 
32.00, -0.003958 
33.00, -0.003958 
34.00, -0.003958 
35.00, -0.003957 
36.00, -0.003957 
37.00, -0.003957 
38.00, -0.003957 
39.00, -0.003957 
40.00, -0.003957 
41.00, -0.003957 
42.00, -0.003957 
43.00, -0.003957 
44.00, -0.003957 
45.00, -0.003957 
46.00, -0.003956 
47.00, -0.003956 
48.00, -0.003956 
49.00, -0.003956 
50.00, -0.003956 
51.00, -0.003956 
51.00, -0.003956 
50.00, -0.003956 
49.00, -0.003956 
48.00, -0.003956 
47.00, -0.003956 
46.00, -0.003956 
45.00, -0.003956 
44.00, -0.003956 
43.00, -0.003957 
42.00, -0.003957 
41.00, -0.003957 
40.00, -0.003957 
39.00, -0.003957 
38.00, -0.003957 
37.00, -0.003957 
36.00, -0.003958 
35.00, -0.003958 
34.00, -0.003957 
33.00, -0.003958 
32.00, -0.003958 
31.00, -0.003958 
30.00, -0.003959 
29.00, -0.003959 
28.00, -0.003959 
27.00, -0.003959 
26.00, -0.003959 
25.00, -0.003959 
24.00, -0.003960 
23.00, -0.003960 
22.00, -0.003960 
21.00, -0.003960 
20.00, -0.003961 
19.00, -0.003961 
18.00, -0.003962 
17.00, -0.003962 
16.00, -0.003963 
15.00, -0.003964 
14.00, -0.003965 
13.00, -0.003966 
12.00, -0.003968 
11.00, -0.003969 
10.00, -0.003971 
9.00, -0.003975 
8.00, -0.003978 
7.00, -0.003983 
6.00, -0.003988 
5.00, -0.003997 
4.00, -0.004005 
3.00, -0.004018 
2.00, -0.004023 
1.00, -0.004036 
-6.22E-15, -0.004042 
-1.00, -0.004046 
-2.00, -0.004045 
-3.00, -0.004037 
-4.00, -0.004027 
-5.00, -0.004016 
-6.00, -0.004001 
-7.00, -0.003992 
-8.00, -0.003983 
-9.00, -0.003977 
-10.00, -0.003972 
-11.00, -0.003969 
-12.00, -0.003967 
-13.00, -0.003965 
-14.00, -0.003963 
-15.00, -0.003963 
-16.00, -0.003962 
-17.00, -0.003961 
-18.00, -0.003960 
-19.00, -0.003960 
-20.00, -0.003959 
-21.00, -0.003959 
-22.00, -0.003959 
-23.00, -0.003958 
-24.00, -0.003958 
-25.00, -0.003958 
-26.00, -0.003958 
-27.00, -0.003957 
-28.00, -0.003957 
-29.00, -0.003957 
-30.00, -0.003957 
-31.00, -0.003957 
-32.00, -0.003957 
-33.00, -0.003957 
-34.00, -0.003956 
-35.00, -0.003956 
-36.00, -0.003956 
-37.00, -0.003956 
-38.00, -0.003956 
-39.00, -0.003956 
-40.00, -0.003956 
-41.00, -0.003956 
-42.00, -0.003956 
-43.00, -0.003956 
-44.00, -0.003956 
-45.00, -0.003956 
-46.00, -0.003956 
-47.00, -0.003955 
-48.00, -0.003955 
-49.00, -0.003955 
-50.00, -0.003955 
