#Magnetic Field (Oe),Voltage (V) 
-50.00, -0.003873 
-49.00, -0.003873 
-48.00, -0.003873 
-47.00, -0.003873 
-46.00, -0.003873 
-45.00, -0.003873 
-44.00, -0.003873 
-43.00, -0.003873 
-42.00, -0.003873 
-41.00, -0.003873 
-40.00, -0.003872 
-39.00, -0.003873 
-38.00, -0.003872 
-37.00, -0.003872 
-36.00, -0.003872 
-35.00, -0.003872 
-34.00, -0.003872 
-33.00, -0.003872 
-32.00, -0.003872 
-31.00, -0.003872 
-30.00, -0.003872 
-29.00, -0.003872 
-28.00, -0.003872 
-27.00, -0.003872 
-26.00, -0.003871 
-25.00, -0.003871 
-24.00, -0.003871 
-23.00, -0.003871 
-22.00, -0.003871 
-21.00, -0.003871 
-20.00, -0.003871 
-19.00, -0.003870 
-18.00, -0.003870 
-17.00, -0.003870 
-16.00, -0.003869 
-15.00, -0.003869 
-14.00, -0.003869 
-13.00, -0.003869 
-12.00, -0.003868 
-11.00, -0.003868 
-10.00, -0.003867 
-9.00, -0.003867 
-8.00, -0.003866 
-7.00, -0.003866 
-6.00, -0.003865 
-5.00, -0.003864 
-4.00, -0.003863 
-3.00, -0.003863 
-2.00, -0.003862 
-1.00, -0.003862 
-6.22E-15, -0.003863 
1.00, -0.003863 
2.00, -0.003869 
3.00, -0.003869 
4.00, -0.003874 
5.00, -0.003876 
6.00, -0.003877 
7.00, -0.003877 
8.00, -0.003878 
9.00, -0.003878 
10.00, -0.003879 
11.00, -0.003879 
12.00, -0.003879 
13.00, -0.003879 
14.00, -0.003879 
15.00, -0.003879 
16.00, -0.003879 
17.00, -0.003879 
18.00, -0.003879 
19.00, -0.003879 
20.00, -0.003879 
21.00, -0.003879 
22.00, -0.003879 
23.00, -0.003879 
24.00, -0.003879 
25.00, -0.003879 
26.00, -0.003879 
27.00, -0.003879 
28.00, -0.003879 
29.00, -0.003879 
30.00, -0.003878 
31.00, -0.003878 
32.00, -0.003879 
33.00, -0.003878 
34.00, -0.003878 
35.00, -0.003878 
36.00, -0.003878 
37.00, -0.003878 
38.00, -0.003878 
39.00, -0.003878 
40.00, -0.003878 
41.00, -0.003877 
42.00, -0.003877 
43.00, -0.003877 
44.00, -0.003877 
45.00, -0.003877 
46.00, -0.003877 
47.00, -0.003877 
48.00, -0.003877 
49.00, -0.003877 
50.00, -0.003877 
51.00, -0.003877 
51.00, -0.003877 
50.00, -0.003877 
49.00, -0.003877 
48.00, -0.003877 
47.00, -0.003877 
46.00, -0.003877 
45.00, -0.003877 
44.00, -0.003877 
43.00, -0.003877 
42.00, -0.003877 
41.00, -0.003877 
40.00, -0.003877 
39.00, -0.003877 
38.00, -0.003878 
37.00, -0.003878 
36.00, -0.003878 
35.00, -0.003878 
34.00, -0.003878 
33.00, -0.003878 
32.00, -0.003878 
31.00, -0.003878 
30.00, -0.003878 
29.00, -0.003879 
28.00, -0.003878 
27.00, -0.003878 
26.00, -0.003879 
25.00, -0.003879 
24.00, -0.003879 
23.00, -0.003879 
22.00, -0.003879 
21.00, -0.003879 
20.00, -0.003879 
19.00, -0.003879 
18.00, -0.003879 
17.00, -0.003879 
16.00, -0.003879 
15.00, -0.003879 
14.00, -0.003879 
13.00, -0.003879 
12.00, -0.003879 
11.00, -0.003879 
10.00, -0.003879 
9.00, -0.003879 
8.00, -0.003879 
7.00, -0.003878 
6.00, -0.003878 
5.00, -0.003878 
4.00, -0.003877 
3.00, -0.003875 
2.00, -0.003875 
1.00, -0.003870 
-6.22E-15, -0.003868 
-1.00, -0.003864 
-2.00, -0.003862 
-3.00, -0.003861 
-4.00, -0.003862 
-5.00, -0.003862 
-6.00, -0.003863 
-7.00, -0.003863 
-8.00, -0.003864 
-9.00, -0.003865 
-10.00, -0.003865 
-11.00, -0.003866 
-12.00, -0.003866 
-13.00, -0.003866 
-14.00, -0.003867 
-15.00, -0.003867 
-16.00, -0.003867 
-17.00, -0.003868 
-18.00, -0.003868 
-19.00, -0.003868 
-20.00, -0.003868 
-21.00, -0.003868 
-22.00, -0.003869 
-23.00, -0.003869 
-24.00, -0.003869 
-25.00, -0.003869 
-26.00, -0.003869 
-27.00, -0.003869 
-28.00, -0.003869 
-29.00, -0.003869 
-30.00, -0.003869 
-31.00, -0.003870 
-32.00, -0.003870 
-33.00, -0.003870 
-34.00, -0.003870 
-35.00, -0.003870 
-36.00, -0.003870 
-37.00, -0.003870 
-38.00, -0.003870 
-39.00, -0.003870 
-40.00, -0.003870 
-41.00, -0.003870 
-42.00, -0.003870 
-43.00, -0.003870 
-44.00, -0.003870 
-45.00, -0.003870 
-46.00, -0.003870 
-47.00, -0.003870 
-48.00, -0.003870 
-49.00, -0.003870 
-50.00, -0.003871 
