#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.064570 
-395.00, 0.064570 
-390.00, 0.064570 
-385.00, 0.064571 
-380.00, 0.064572 
-375.00, 0.064573 
-370.00, 0.064574 
-365.00, 0.064575 
-360.00, 0.064576 
-355.00, 0.064578 
-350.00, 0.064578 
-345.00, 0.064579 
-340.00, 0.064580 
-335.00, 0.064581 
-330.00, 0.064582 
-325.00, 0.064584 
-320.00, 0.064585 
-315.00, 0.064586 
-310.00, 0.064587 
-305.00, 0.064589 
-300.00, 0.064590 
-295.00, 0.064590 
-290.00, 0.064592 
-285.00, 0.064593 
-280.00, 0.064594 
-275.00, 0.064595 
-270.00, 0.064597 
-265.00, 0.064598 
-260.00, 0.064599 
-255.00, 0.064601 
-250.00, 0.064602 
-245.00, 0.064604 
-240.00, 0.064605 
-235.00, 0.064607 
-230.00, 0.064608 
-225.00, 0.064610 
-220.00, 0.064611 
-215.00, 0.064613 
-210.00, 0.064614 
-205.00, 0.064616 
-200.00, 0.064617 
-195.00, 0.064619 
-190.00, 0.064621 
-185.00, 0.064622 
-180.00, 0.064624 
-175.00, 0.064626 
-170.00, 0.064628 
-165.00, 0.064631 
-160.00, 0.064633 
-155.00, 0.064636 
-150.00, 0.064638 
-145.00, 0.064640 
-140.00, 0.064641 
-135.00, 0.064644 
-130.00, 0.064646 
-125.00, 0.064649 
-120.00, 0.064651 
-115.00, 0.064654 
-110.00, 0.064656 
-105.00, 0.064659 
-100.00, 0.064662 
-95.00, 0.064665 
-90.00, 0.064668 
-85.00, 0.064671 
-80.00, 0.064674 
-75.00, 0.064677 
-70.00, 0.064680 
-65.00, 0.064683 
-60.00, 0.064687 
-55.00, 0.064691 
-50.00, 0.064694 
-45.00, 0.064698 
-40.00, 0.064703 
-35.00, 0.064708 
-30.00, 0.064713 
-25.00, 0.064719 
-20.00, 0.064725 
-15.00, 0.064732 
-10.00, 0.064741 
-5.00, 0.064754 
-3.06E-14, 0.064770 
5.00, 0.064793 
10.00, 0.064843 
15.00, 0.065014 
20.00, 0.065892 
25.00, 0.068801 
30.00, 0.069180 
35.00, 0.069284 
40.00, 0.069327 
45.00, 0.069346 
50.00, 0.069355 
55.00, 0.069359 
60.00, 0.069358 
65.00, 0.069355 
70.00, 0.069349 
75.00, 0.069341 
80.00, 0.069331 
85.00, 0.069319 
90.00, 0.069305 
95.00, 0.069289 
100.00, 0.069271 
105.00, 0.069250 
110.00, 0.069225 
115.00, 0.069197 
120.00, 0.069166 
125.00, 0.069129 
130.00, 0.069089 
135.00, 0.069043 
140.00, 0.068990 
145.00, 0.068929 
150.00, 0.068858 
155.00, 0.068775 
160.00, 0.068675 
165.00, 0.068553 
170.00, 0.068396 
175.00, 0.068190 
180.00, 0.067912 
185.00, 0.067547 
190.00, 0.067095 
195.00, 0.066591 
200.00, 0.066097 
205.00, 0.065649 
210.00, 0.065270 
215.00, 0.064996 
