#Magnetic Field (Oe),Voltage (V) 
-100.00, 0.060493 
-99.00, 0.060491 
-98.00, 0.060491 
-97.00, 0.060491 
-96.00, 0.060492 
-95.00, 0.060493 
-94.00, 0.060490 
-93.00, 0.060488 
-92.00, 0.060490 
-91.00, 0.060490 
-90.00, 0.060490 
-89.00, 0.060486 
-88.00, 0.060484 
-87.00, 0.060481 
-86.00, 0.060481 
-85.00, 0.060481 
-84.00, 0.060481 
-83.00, 0.060480 
-82.00, 0.060479 
-81.00, 0.060480 
-80.00, 0.060477 
-79.00, 0.060474 
-78.00, 0.060474 
-77.00, 0.060473 
-76.00, 0.060471 
-75.00, 0.060469 
-74.00, 0.060468 
-73.00, 0.060466 
-72.00, 0.060464 
-71.00, 0.060458 
-70.00, 0.060459 
-69.00, 0.060458 
-68.00, 0.060455 
-67.00, 0.060453 
-66.00, 0.060449 
-65.00, 0.060438 
-64.00, 0.060428 
-63.00, 0.060428 
-62.00, 0.060407 
-61.00, 0.060352 
-60.00, 0.060347 
-59.00, 0.060352 
-58.00, 0.060349 
-57.00, 0.060352 
-56.00, 0.060358 
-55.00, 0.060379 
-54.00, 0.060368 
-53.00, 0.060376 
-52.00, 0.060352 
-51.00, 0.060368 
-50.00, 0.060363 
-49.00, 0.060359 
-48.00, 0.060355 
-47.00, 0.060367 
-46.00, 0.060361 
-45.00, 0.060350 
-44.00, 0.060348 
-43.00, 0.060342 
-42.00, 0.060335 
-41.00, 0.060321 
-40.00, 0.060269 
-39.00, 0.060301 
-38.00, 0.060250 
-37.00, 0.060281 
-36.00, 0.060272 
-35.00, 0.060269 
-34.00, 0.060230 
-33.00, 0.060233 
-32.00, 0.060231 
-31.00, 0.060223 
-30.00, 0.060200 
-29.00, 0.060189 
-28.00, 0.060171 
-27.00, 0.060153 
-26.00, 0.060131 
-25.00, 0.060109 
-24.00, 0.060081 
-23.00, 0.060055 
-22.00, 0.060023 
-21.00, 0.059998 
-20.00, 0.059956 
-19.00, 0.059877 
-18.00, 0.059866 
-17.00, 0.059830 
-16.00, 0.059779 
-15.00, 0.059706 
-14.00, 0.059657 
-13.00, 0.059567 
-12.00, 0.059509 
-11.00, 0.059414 
-10.00, 0.059340 
-9.00, 0.059237 
-8.00, 0.059130 
-7.00, 0.058992 
-6.00, 0.058904 
-5.00, 0.058758 
-4.00, 0.058676 
-3.00, 0.058616 
-2.00, 0.058523 
-1.00, 0.058471 
-1.42E-14, 0.058410 
1.00, 0.058371 
2.00, 0.058329 
3.00, 0.058316 
4.00, 0.058289 
5.00, 0.058274 
6.00, 0.058250 
7.00, 0.058238 
8.00, 0.058226 
9.00, 0.058210 
10.00, 0.058198 
11.00, 0.058204 
12.00, 0.058200 
13.00, 0.058187 
14.00, 0.058164 
15.00, 0.058169 
16.00, 0.058163 
17.00, 0.058154 
18.00, 0.058157 
19.00, 0.058148 
20.00, 0.058153 
21.00, 0.058139 
22.00, 0.058126 
23.00, 0.058128 
24.00, 0.058118 
25.00, 0.058087 
26.00, 0.058056 
27.00, 0.058100 
28.00, 0.058112 
29.00, 0.058109 
30.00, 0.058095 
31.00, 0.058109 
32.00, 0.058034 
33.00, 0.058073 
34.00, 0.058087 
35.00, 0.058088 
36.00, 0.058080 
37.00, 0.058083 
38.00, 0.058082 
39.00, 0.058089 
40.00, 0.058078 
41.00, 0.058083 
42.00, 0.058096 
43.00, 0.058077 
44.00, 0.058060 
45.00, 0.058063 
46.00, 0.058079 
47.00, 0.058091 
48.00, 0.058098 
49.00, 0.058100 
50.00, 0.058097 
51.00, 0.058097 
52.00, 0.058099 
53.00, 0.058101 
54.00, 0.058102 
55.00, 0.058103 
56.00, 0.058102 
57.00, 0.058101 
58.00, 0.058102 
59.00, 0.058099 
60.00, 0.058101 
61.00, 0.058100 
62.00, 0.058101 
63.00, 0.058101 
64.00, 0.058096 
65.00, 0.058094 
66.00, 0.058092 
67.00, 0.058094 
68.00, 0.058097 
69.00, 0.058095 
70.00, 0.058098 
71.00, 0.058093 
72.00, 0.058090 
73.00, 0.058091 
74.00, 0.058091 
75.00, 0.058090 
76.00, 0.058089 
77.00, 0.058083 
78.00, 0.058084 
79.00, 0.058082 
80.00, 0.058082 
81.00, 0.058084 
82.00, 0.058086 
83.00, 0.058085 
84.00, 0.058084 
85.00, 0.058082 
86.00, 0.058081 
87.00, 0.058081 
88.00, 0.058080 
89.00, 0.058069 
90.00, 0.058064 
91.00, 0.058066 
92.00, 0.058065 
93.00, 0.058072 
94.00, 0.058077 
95.00, 0.058080 
96.00, 0.058078 
97.00, 0.058080 
98.00, 0.058074 
99.00, 0.058069 
100.00, 0.058053 
101.00, 0.058050 
101.00, 0.058048 
100.00, 0.058064 
99.00, 0.058051 
98.00, 0.058056 
97.00, 0.058060 
96.00, 0.058066 
95.00, 0.058061 
94.00, 0.058062 
93.00, 0.058061 
92.00, 0.058057 
91.00, 0.058066 
90.00, 0.058065 
89.00, 0.058057 
88.00, 0.058051 
87.00, 0.058059 
86.00, 0.058063 
85.00, 0.058056 
84.00, 0.058053 
83.00, 0.058053 
82.00, 0.058050 
81.00, 0.058054 
80.00, 0.058051 
79.00, 0.058052 
78.00, 0.058054 
77.00, 0.058056 
76.00, 0.058059 
75.00, 0.058065 
74.00, 0.058063 
73.00, 0.058061 
72.00, 0.058064 
71.00, 0.058062 
70.00, 0.058062 
69.00, 0.058062 
68.00, 0.058068 
67.00, 0.058063 
66.00, 0.058058 
65.00, 0.058061 
64.00, 0.058067 
63.00, 0.058063 
62.00, 0.058067 
61.00, 0.058070 
60.00, 0.058071 
59.00, 0.058070 
58.00, 0.058072 
57.00, 0.058071 
56.00, 0.058075 
55.00, 0.058077 
54.00, 0.058061 
53.00, 0.058061 
52.00, 0.058064 
51.00, 0.058066 
50.00, 0.058060 
49.00, 0.058055 
48.00, 0.058062 
47.00, 0.058064 
46.00, 0.058065 
45.00, 0.058064 
44.00, 0.058068 
43.00, 0.058064 
42.00, 0.058066 
41.00, 0.058069 
40.00, 0.058079 
39.00, 0.058085 
38.00, 0.058085 
37.00, 0.058075 
36.00, 0.058077 
35.00, 0.058069 
34.00, 0.058101 
33.00, 0.058102 
32.00, 0.058109 
31.00, 0.058107 
30.00, 0.058110 
29.00, 0.058109 
28.00, 0.058102 
27.00, 0.058104 
26.00, 0.058111 
25.00, 0.058116 
