#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.064610 
-395.00, 0.064610 
-390.00, 0.064610 
-385.00, 0.064611 
-380.00, 0.064611 
-375.00, 0.064612 
-370.00, 0.064614 
-365.00, 0.064615 
-360.00, 0.064615 
-355.00, 0.064617 
-350.00, 0.064618 
-345.00, 0.064618 
-340.00, 0.064618 
-335.00, 0.064620 
-330.00, 0.064621 
-325.00, 0.064622 
-320.00, 0.064623 
-315.00, 0.064624 
-310.00, 0.064625 
-305.00, 0.064627 
-300.00, 0.064628 
-295.00, 0.064629 
-290.00, 0.064630 
-285.00, 0.064632 
-280.00, 0.064633 
-275.00, 0.064633 
-270.00, 0.064634 
-265.00, 0.064635 
-260.00, 0.064636 
-255.00, 0.064637 
-250.00, 0.064639 
-245.00, 0.064640 
-240.00, 0.064642 
-235.00, 0.064643 
-230.00, 0.064646 
-225.00, 0.064647 
-220.00, 0.064649 
-215.00, 0.064651 
-210.00, 0.064652 
-205.00, 0.064654 
-200.00, 0.064655 
-195.00, 0.064656 
-190.00, 0.064659 
-185.00, 0.064660 
-180.00, 0.064661 
-175.00, 0.064664 
-170.00, 0.064665 
-165.00, 0.064668 
-160.00, 0.064670 
-155.00, 0.064672 
-150.00, 0.064674 
-145.00, 0.064677 
-140.00, 0.064678 
-135.00, 0.064680 
-130.00, 0.064683 
-125.00, 0.064685 
-120.00, 0.064687 
-115.00, 0.064690 
-110.00, 0.064692 
-105.00, 0.064695 
-100.00, 0.064697 
-95.00, 0.064700 
-90.00, 0.064703 
-85.00, 0.064706 
-80.00, 0.064708 
-75.00, 0.064711 
-70.00, 0.064714 
-65.00, 0.064717 
-60.00, 0.064721 
-55.00, 0.064724 
-50.00, 0.064727 
-45.00, 0.064731 
-40.00, 0.064735 
-35.00, 0.064739 
-30.00, 0.064744 
-25.00, 0.064749 
-20.00, 0.064755 
-15.00, 0.064762 
-10.00, 0.064770 
-5.00, 0.064781 
-3.06E-14, 0.064795 
5.00, 0.064815 
10.00, 0.064861 
15.00, 0.065019 
20.00, 0.065919 
25.00, 0.068922 
30.00, 0.069275 
35.00, 0.069372 
40.00, 0.069415 
45.00, 0.069435 
50.00, 0.069445 
55.00, 0.069450 
60.00, 0.069451 
65.00, 0.069450 
70.00, 0.069447 
75.00, 0.069441 
80.00, 0.069434 
85.00, 0.069424 
90.00, 0.069412 
95.00, 0.069399 
100.00, 0.069383 
105.00, 0.069364 
110.00, 0.069343 
115.00, 0.069318 
120.00, 0.069289 
125.00, 0.069254 
130.00, 0.069214 
135.00, 0.069169 
140.00, 0.069114 
145.00, 0.069048 
150.00, 0.068969 
155.00, 0.068870 
160.00, 0.068745 
165.00, 0.068581 
170.00, 0.068359 
175.00, 0.068054 
180.00, 0.067640 
185.00, 0.067095 
190.00, 0.066547 
195.00, 0.066015 
200.00, 0.065548 
205.00, 0.065193 
210.00, 0.064964 
215.00, 0.064837 
220.00, 0.064772 
225.00, 0.064740 
230.00, 0.064725 
235.00, 0.064717 
240.00, 0.064710 
245.00, 0.064704 
250.00, 0.064699 
255.00, 0.064694 
260.00, 0.064690 
265.00, 0.064686 
270.00, 0.064682 
275.00, 0.064679 
280.00, 0.064676 
285.00, 0.064674 
290.00, 0.064671 
295.00, 0.064669 
300.00, 0.064667 
305.00, 0.064664 
310.00, 0.064663 
315.00, 0.064661 
320.00, 0.064658 
325.00, 0.064657 
330.00, 0.064655 
335.00, 0.064653 
340.00, 0.064651 
345.00, 0.064650 
350.00, 0.064648 
355.00, 0.064647 
360.00, 0.064646 
365.00, 0.064644 
370.00, 0.064642 
375.00, 0.064641 
380.00, 0.064639 
385.00, 0.064637 
390.00, 0.064636 
395.00, 0.064635 
400.00, 0.064633 
405.00, 0.064632 
405.00, 0.064632 
400.00, 0.064633 
395.00, 0.064634 
390.00, 0.064634 
385.00, 0.064635 
380.00, 0.064636 
375.00, 0.064637 
370.00, 0.064638 
365.00, 0.064639 
360.00, 0.064641 
355.00, 0.064641 
350.00, 0.064642 
345.00, 0.064643 
340.00, 0.064644 
335.00, 0.064645 
330.00, 0.064646 
325.00, 0.064647 
320.00, 0.064648 
315.00, 0.064649 
310.00, 0.064651 
305.00, 0.064652 
300.00, 0.064654 
295.00, 0.064655 
290.00, 0.064655 
285.00, 0.064656 
280.00, 0.064657 
275.00, 0.064657 
270.00, 0.064658 
265.00, 0.064659 
260.00, 0.064660 
255.00, 0.064661 
250.00, 0.064663 
245.00, 0.064665 
240.00, 0.064667 
235.00, 0.064669 
230.00, 0.064671 
225.00, 0.064673 
220.00, 0.064674 
215.00, 0.064676 
210.00, 0.064677 
205.00, 0.064678 
200.00, 0.064679 
195.00, 0.064680 
190.00, 0.064682 
185.00, 0.064683 
180.00, 0.064685 
175.00, 0.064687 
170.00, 0.064689 
165.00, 0.064691 
160.00, 0.064694 
155.00, 0.064695 
150.00, 0.064697 
145.00, 0.064698 
140.00, 0.064699 
135.00, 0.064702 
130.00, 0.064704 
125.00, 0.064707 
120.00, 0.064710 
115.00, 0.064712 
110.00, 0.064715 
105.00, 0.064718 
100.00, 0.064720 
95.00, 0.064723 
90.00, 0.064726 
85.00, 0.064729 
80.00, 0.064732 
75.00, 0.064736 
70.00, 0.064739 
65.00, 0.064743 
60.00, 0.064747 
55.00, 0.064752 
50.00, 0.064757 
45.00, 0.064762 
40.00, 0.064767 
35.00, 0.064773 
30.00, 0.064779 
25.00, 0.064786 
20.00, 0.064794 
15.00, 0.064802 
10.00, 0.064813 
5.00, 0.064829 
-3.06E-14, 0.064850 
-5.00, 0.064893 
-10.00, 0.065040 
-15.00, 0.065923 
-20.00, 0.068895 
-25.00, 0.069308 
-30.00, 0.069396 
-35.00, 0.069433 
-40.00, 0.069448 
-45.00, 0.069454 
-50.00, 0.069455 
-55.00, 0.069452 
-60.00, 0.069446 
-65.00, 0.069438 
-70.00, 0.069428 
-75.00, 0.069415 
-80.00, 0.069399 
-85.00, 0.069381 
-90.00, 0.069359 
-95.00, 0.069332 
-100.00, 0.069302 
-105.00, 0.069268 
-110.00, 0.069226 
-115.00, 0.069177 
-120.00, 0.069119 
-125.00, 0.069050 
-130.00, 0.068966 
-135.00, 0.068863 
-140.00, 0.068735 
-145.00, 0.068572 
-150.00, 0.068353 
-155.00, 0.068058 
-160.00, 0.067667 
-165.00, 0.067178 
-170.00, 0.066627 
-175.00, 0.066092 
-180.00, 0.065647 
-185.00, 0.065334 
-190.00, 0.065134 
-195.00, 0.064999 
-200.00, 0.064908 
-205.00, 0.064846 
-210.00, 0.064805 
-215.00, 0.064777 
-220.00, 0.064759 
-225.00, 0.064746 
-230.00, 0.064737 
-235.00, 0.064730 
-240.00, 0.064725 
-245.00, 0.064721 
-250.00, 0.064717 
-255.00, 0.064714 
-260.00, 0.064711 
-265.00, 0.064708 
-270.00, 0.064706 
-275.00, 0.064703 
-280.00, 0.064701 
-285.00, 0.064699 
-290.00, 0.064697 
-295.00, 0.064696 
-300.00, 0.064694 
-305.00, 0.064692 
-310.00, 0.064691 
-315.00, 0.064689 
-320.00, 0.064688 
-325.00, 0.064687 
-330.00, 0.064685 
-335.00, 0.064684 
-340.00, 0.064683 
-345.00, 0.064681 
-350.00, 0.064680 
-355.00, 0.064679 
-360.00, 0.064678 
-365.00, 0.064678 
-370.00, 0.064676 
-375.00, 0.064675 
-380.00, 0.064673 
-385.00, 0.064672 
-390.00, 0.064671 
-395.00, 0.064670 
-400.00, 0.064670 
