#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.069248 
-49.00, 0.069245 
-48.00, 0.069241 
-47.00, 0.069238 
-46.00, 0.069235 
-45.00, 0.069232 
-44.00, 0.069229 
-43.00, 0.069226 
-42.00, 0.069224 
-41.00, 0.069221 
-40.00, 0.069218 
-39.00, 0.069216 
-38.00, 0.069214 
-37.00, 0.069211 
-36.00, 0.069208 
-35.00, 0.069206 
-34.00, 0.069202 
-33.00, 0.069198 
-32.00, 0.069193 
-31.00, 0.069189 
-30.00, 0.069182 
-29.00, 0.069176 
-28.00, 0.069168 
-27.00, 0.069161 
-26.00, 0.069149 
-25.00, 0.069139 
-24.00, 0.069122 
-23.00, 0.069108 
-22.00, 0.069084 
-21.00, 0.069062 
-20.00, 0.069023 
-19.00, 0.068993 
-18.00, 0.068952 
-17.00, 0.068873 
-16.00, 0.068805 
-15.00, 0.068651 
-14.00, 0.068538 
-13.00, 0.068259 
-12.00, 0.068007 
-11.00, 0.067374 
-10.00, 0.067038 
-9.00, 0.066362 
-8.00, 0.066087 
-7.00, 0.065656 
-6.00, 0.065499 
-5.00, 0.065283 
-4.00, 0.065194 
-3.00, 0.065112 
-2.00, 0.065024 
-1.00, 0.064980 
-6.22E-15, 0.064929 
1.00, 0.064902 
2.00, 0.064871 
3.00, 0.064860 
4.00, 0.064839 
5.00, 0.064827 
6.00, 0.064813 
7.00, 0.064804 
8.00, 0.064794 
9.00, 0.064788 
10.00, 0.064780 
11.00, 0.064775 
12.00, 0.064771 
13.00, 0.064765 
14.00, 0.064761 
15.00, 0.064757 
16.00, 0.064754 
17.00, 0.064750 
18.00, 0.064746 
19.00, 0.064743 
20.00, 0.064741 
21.00, 0.064739 
22.00, 0.064736 
23.00, 0.064734 
24.00, 0.064733 
25.00, 0.064731 
26.00, 0.064729 
27.00, 0.064728 
28.00, 0.064726 
29.00, 0.064724 
30.00, 0.064722 
31.00, 0.064720 
31.00, 0.064719 
30.00, 0.064719 
29.00, 0.064720 
28.00, 0.064720 
27.00, 0.064721 
26.00, 0.064721 
25.00, 0.064723 
24.00, 0.064724 
23.00, 0.064725 
22.00, 0.064726 
21.00, 0.064728 
20.00, 0.064730 
19.00, 0.064732 
18.00, 0.064734 
17.00, 0.064736 
16.00, 0.064739 
15.00, 0.064741 
14.00, 0.064744 
13.00, 0.064746 
12.00, 0.064749 
11.00, 0.064751 
10.00, 0.064754 
9.00, 0.064757 
8.00, 0.064760 
7.00, 0.064763 
6.00, 0.064766 
5.00, 0.064770 
4.00, 0.064773 
3.00, 0.064778 
2.00, 0.064781 
1.00, 0.064788 
-6.22E-15, 0.064793 
-1.00, 0.064800 
-2.00, 0.064806 
-3.00, 0.064816 
-4.00, 0.064824 
-5.00, 0.064832 
-6.00, 0.064849 
-7.00, 0.064861 
-8.00, 0.064884 
-9.00, 0.064901 
-10.00, 0.064941 
-11.00, 0.064969 
-12.00, 0.065031 
-13.00, 0.065071 
-14.00, 0.065177 
-15.00, 0.065254 
-16.00, 0.065473 
-17.00, 0.065639 
-18.00, 0.066175 
-19.00, 0.066547 
-20.00, 0.067163 
-21.00, 0.068039 
-22.00, 0.068285 
-23.00, 0.068629 
-24.00, 0.068740 
-25.00, 0.068890 
-26.00, 0.068946 
-27.00, 0.069016 
-28.00, 0.069047 
-29.00, 0.069084 
-30.00, 0.069103 
-31.00, 0.069127 
-32.00, 0.069139 
-33.00, 0.069154 
-34.00, 0.069162 
-35.00, 0.069172 
-36.00, 0.069177 
-37.00, 0.069182 
-38.00, 0.069188 
-39.00, 0.069191 
-40.00, 0.069196 
-41.00, 0.069198 
-42.00, 0.069201 
-43.00, 0.069204 
-44.00, 0.069207 
-45.00, 0.069207 
-46.00, 0.069209 
-47.00, 0.069210 
-48.00, 0.069212 
-49.00, 0.069212 
-50.00, 0.069213 
