#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.058472 
-395.00, 0.058474 
-390.00, 0.058488 
-385.00, 0.058505 
-380.00, 0.058514 
-375.00, 0.058533 
-370.00, 0.058557 
-365.00, 0.058581 
-360.00, 0.058595 
-355.00, 0.058621 
-350.00, 0.058658 
-345.00, 0.058677 
-340.00, 0.058718 
-335.00, 0.058765 
-330.00, 0.058795 
-325.00, 0.058851 
-320.00, 0.058920 
-315.00, 0.058958 
-310.00, 0.059036 
-305.00, 0.059130 
-300.00, 0.059230 
-295.00, 0.059292 
-290.00, 0.059399 
-285.00, 0.059505 
-280.00, 0.059605 
-275.00, 0.059708 
-270.00, 0.059798 
-265.00, 0.059879 
-260.00, 0.059956 
-255.00, 0.060014 
-250.00, 0.060066 
-245.00, 0.060109 
-240.00, 0.060144 
-235.00, 0.060176 
-230.00, 0.060203 
-225.00, 0.060226 
-220.00, 0.060245 
-215.00, 0.060262 
-210.00, 0.060277 
-205.00, 0.060293 
-200.00, 0.060307 
-195.00, 0.060315 
-190.00, 0.060325 
-185.00, 0.060334 
-180.00, 0.060343 
-175.00, 0.060352 
-170.00, 0.060360 
-165.00, 0.060369 
-160.00, 0.060377 
-155.00, 0.060385 
-150.00, 0.060392 
-145.00, 0.060395 
-140.00, 0.060402 
-135.00, 0.060409 
-130.00, 0.060411 
-125.00, 0.060416 
-120.00, 0.060418 
-115.00, 0.060419 
-110.00, 0.060423 
-105.00, 0.060426 
-100.00, 0.060432 
-95.00, 0.060432 
-90.00, 0.060432 
-85.00, 0.060432 
-80.00, 0.060428 
-75.00, 0.060428 
-70.00, 0.060422 
-65.00, 0.060415 
-60.00, 0.060412 
-55.00, 0.060402 
-50.00, 0.060387 
-45.00, 0.060370 
-40.00, 0.060347 
-35.00, 0.060316 
-30.00, 0.060265 
-25.00, 0.060197 
-20.00, 0.060071 
-15.00, 0.059858 
-10.00, 0.059403 
-5.00, 0.058701 
-3.06E-14, 0.058395 
5.00, 0.058264 
10.00, 0.058181 
15.00, 0.058140 
20.00, 0.058113 
25.00, 0.058095 
30.00, 0.058082 
35.00, 0.058074 
40.00, 0.058068 
45.00, 0.058063 
50.00, 0.058058 
55.00, 0.058055 
60.00, 0.058049 
65.00, 0.058046 
70.00, 0.058043 
75.00, 0.058004 
80.00, 0.058043 
85.00, 0.058038 
90.00, 0.058034 
95.00, 0.058032 
100.00, 0.058031 
105.00, 0.058030 
110.00, 0.058029 
115.00, 0.058028 
120.00, 0.058026 
125.00, 0.058025 
130.00, 0.058024 
135.00, 0.058022 
140.00, 0.058020 
145.00, 0.058019 
150.00, 0.058017 
155.00, 0.058016 
160.00, 0.058016 
165.00, 0.058015 
170.00, 0.058014 
175.00, 0.058014 
180.00, 0.058013 
185.00, 0.058013 
190.00, 0.058013 
195.00, 0.058012 
200.00, 0.058011 
205.00, 0.058011 
210.00, 0.058010 
215.00, 0.058009 
220.00, 0.058009 
225.00, 0.058007 
230.00, 0.058007 
235.00, 0.058006 
240.00, 0.058005 
245.00, 0.058003 
250.00, 0.058002 
255.00, 0.058001 
260.00, 0.058000 
265.00, 0.057999 
270.00, 0.057998 
275.00, 0.057997 
280.00, 0.057995 
285.00, 0.057995 
290.00, 0.057994 
295.00, 0.057986 
300.00, 0.057986 
305.00, 0.057986 
310.00, 0.057986 
315.00, 0.057986 
320.00, 0.057985 
325.00, 0.057985 
330.00, 0.057985 
335.00, 0.057984 
340.00, 0.057985 
345.00, 0.057985 
350.00, 0.057985 
355.00, 0.057985 
360.00, 0.057984 
365.00, 0.057984 
370.00, 0.057984 
375.00, 0.057985 
380.00, 0.057985 
385.00, 0.057984 
390.00, 0.057983 
395.00, 0.057983 
400.00, 0.057982 
405.00, 0.057981 
405.00, 0.057981 
400.00, 0.057982 
395.00, 0.057983 
390.00, 0.057984 
385.00, 0.057984 
380.00, 0.057984 
375.00, 0.057984 
370.00, 0.057984 
365.00, 0.057985 
360.00, 0.057984 
355.00, 0.057984 
350.00, 0.057983 
345.00, 0.057984 
340.00, 0.057956 
335.00, 0.057956 
330.00, 0.057957 
325.00, 0.057957 
320.00, 0.057957 
315.00, 0.057957 
310.00, 0.057958 
305.00, 0.057958 
300.00, 0.057959 
295.00, 0.057960 
290.00, 0.057962 
285.00, 0.057962 
280.00, 0.057964 
275.00, 0.057966 
270.00, 0.057966 
265.00, 0.057964 
260.00, 0.057965 
255.00, 0.057963 
250.00, 0.057966 
245.00, 0.057966 
240.00, 0.057968 
235.00, 0.057967 
230.00, 0.057968 
225.00, 0.057970 
220.00, 0.057971 
215.00, 0.057978 
210.00, 0.057979 
205.00, 0.057984 
200.00, 0.057985 
195.00, 0.057987 
190.00, 0.057993 
185.00, 0.057990 
180.00, 0.057984 
175.00, 0.057990 
170.00, 0.057984 
165.00, 0.057986 
160.00, 0.057990 
155.00, 0.057987 
150.00, 0.058003 
145.00, 0.058021 
140.00, 0.058015 
135.00, 0.058024 
130.00, 0.058028 
125.00, 0.058027 
120.00, 0.058026 
115.00, 0.058031 
110.00, 0.058034 
105.00, 0.058037 
100.00, 0.058037 
95.00, 0.058038 
90.00, 0.058035 
85.00, 0.058033 
80.00, 0.058035 
75.00, 0.058038 
70.00, 0.058037 
65.00, 0.058040 
60.00, 0.058037 
55.00, 0.058033 
50.00, 0.058039 
45.00, 0.058057 
40.00, 0.058064 
35.00, 0.058069 
30.00, 0.058076 
25.00, 0.058081 
20.00, 0.058088 
15.00, 0.058102 
10.00, 0.058130 
5.00, 0.058163 
-3.06E-14, 0.058231 
-5.00, 0.058369 
-10.00, 0.058716 
-15.00, 0.059210 
-20.00, 0.059607 
-25.00, 0.059854 
-30.00, 0.059991 
-35.00, 0.060103 
-40.00, 0.060159 
-45.00, 0.060231 
-50.00, 0.060267 
-55.00, 0.060310 
-60.00, 0.060321 
-65.00, 0.060347 
-70.00, 0.060354 
-75.00, 0.060381 
-80.00, 0.060393 
-85.00, 0.060383 
-90.00, 0.060388 
-95.00, 0.060386 
-100.00, 0.060394 
-105.00, 0.060408 
-110.00, 0.060397 
-115.00, 0.060415 
-120.00, 0.060413 
-125.00, 0.060392 
-130.00, 0.060398 
-135.00, 0.060394 
-140.00, 0.060389 
-145.00, 0.060384 
-150.00, 0.060383 
-155.00, 0.060383 
-160.00, 0.060383 
-165.00, 0.060390 
-170.00, 0.060387 
-175.00, 0.060384 
-180.00, 0.060379 
-185.00, 0.060375 
-190.00, 0.060372 
-195.00, 0.060371 
-200.00, 0.060369 
-205.00, 0.060364 
-210.00, 0.060360 
-215.00, 0.060356 
-220.00, 0.060350 
-225.00, 0.060345 
-230.00, 0.060339 
-235.00, 0.060332 
-240.00, 0.060324 
-245.00, 0.060315 
-250.00, 0.060305 
-255.00, 0.060293 
-260.00, 0.060280 
-265.00, 0.060266 
-270.00, 0.060251 
-275.00, 0.060235 
-280.00, 0.060215 
-285.00, 0.060193 
-290.00, 0.060166 
-295.00, 0.060133 
-300.00, 0.060110 
-305.00, 0.060066 
-310.00, 0.060007 
-315.00, 0.059938 
-320.00, 0.059895 
-325.00, 0.059798 
-330.00, 0.059689 
-335.00, 0.059617 
-340.00, 0.059487 
-345.00, 0.059342 
-350.00, 0.059265 
-355.00, 0.059130 
-360.00, 0.058993 
-365.00, 0.058925 
-370.00, 0.058814 
-375.00, 0.058710 
-380.00, 0.058622 
