#Magnetic Field (Oe),Voltage (V) 
-400.00, 1.410726 
-395.00, 1.410734 
-390.00, 1.410761 
-385.00, 1.410786 
-380.00, 1.410808 
-375.00, 1.410836 
-370.00, 1.410871 
-365.00, 1.410894 
-360.00, 1.410911 
-355.00, 1.410941 
-350.00, 1.410978 
-345.00, 1.410996 
-340.00, 1.411034 
-335.00, 1.411071 
-330.00, 1.411088 
-325.00, 1.411123 
-320.00, 1.411161 
-315.00, 1.411181 
-310.00, 1.411209 
-305.00, 1.411253 
-300.00, 1.411288 
-295.00, 1.411311 
-290.00, 1.411346 
-285.00, 1.411394 
-280.00, 1.411427 
-275.00, 1.411456 
-270.00, 1.411495 
-265.00, 1.411524 
-260.00, 1.411564 
-255.00, 1.411604 
-250.00, 1.411639 
-245.00, 1.411681 
-240.00, 1.411724 
-235.00, 1.411758 
-230.00, 1.411797 
-225.00, 1.411834 
-220.00, 1.411871 
-215.00, 1.411920 
-210.00, 1.411962 
-205.00, 1.412000 
-200.00, 1.412044 
-195.00, 1.412088 
-190.00, 1.412130 
-185.00, 1.412175 
-180.00, 1.412203 
-175.00, 1.412270 
-170.00, 1.412307 
-165.00, 1.412358 
-160.00, 1.412411 
-155.00, 1.412451 
-150.00, 1.412495 
-145.00, 1.412540 
-140.00, 1.412573 
-135.00, 1.412627 
-130.00, 1.412675 
-125.00, 1.412713 
-120.00, 1.412753 
-115.00, 1.412797 
-110.00, 1.412839 
-105.00, 1.412878 
-100.00, 1.412914 
-95.00, 1.412951 
-90.00, 1.412982 
-85.00, 1.413014 
-80.00, 1.413038 
-75.00, 1.413058 
-70.00, 1.413073 
-65.00, 1.413081 
-60.00, 1.413082 
-55.00, 1.413082 
-50.00, 1.413065 
-45.00, 1.413028 
-40.00, 1.412975 
-35.00, 1.412904 
-30.00, 1.412800 
-25.00, 1.412656 
-20.00, 1.412448 
-15.00, 1.412186 
-10.00, 1.411825 
-5.00, 1.411311 
-3.06E-14, 1.410674 
5.00, 1.410033 
10.00, 1.409770 
15.00, 1.412362 
20.00, 1.418354 
25.00, 1.422799 
30.00, 1.424056 
35.00, 1.424673 
40.00, 1.424956 
45.00, 1.425161 
50.00, 1.425340 
55.00, 1.425358 
60.00, 1.425351 
65.00, 1.425321 
70.00, 1.425268 
75.00, 1.425226 
80.00, 1.425154 
85.00, 1.425064 
90.00, 1.424964 
95.00, 1.424858 
100.00, 1.424746 
105.00, 1.424641 
110.00, 1.424508 
115.00, 1.424387 
120.00, 1.424255 
125.00, 1.424111 
130.00, 1.423970 
135.00, 1.423827 
140.00, 1.423678 
145.00, 1.423528 
150.00, 1.423372 
155.00, 1.423206 
160.00, 1.423046 
165.00, 1.422876 
170.00, 1.422705 
175.00, 1.422541 
180.00, 1.422343 
185.00, 1.422173 
190.00, 1.421998 
195.00, 1.421800 
200.00, 1.421616 
205.00, 1.421421 
210.00, 1.421209 
215.00, 1.421006 
220.00, 1.420811 
225.00, 1.420586 
230.00, 1.420376 
235.00, 1.420181 
240.00, 1.419943 
245.00, 1.419717 
250.00, 1.419485 
255.00, 1.419250 
260.00, 1.419013 
265.00, 1.418789 
270.00, 1.418537 
275.00, 1.418304 
280.00, 1.418069 
285.00, 1.417805 
290.00, 1.417585 
295.00, 1.417345 
300.00, 1.417115 
305.00, 1.416839 
310.00, 1.416710 
315.00, 1.416446 
320.00, 1.416214 
325.00, 1.416079 
330.00, 1.415863 
335.00, 1.415613 
340.00, 1.415409 
345.00, 1.415302 
350.00, 1.415098 
355.00, 1.414920 
360.00, 1.414831 
365.00, 1.414657 
370.00, 1.414486 
375.00, 1.414401 
380.00, 1.414224 
385.00, 1.414073 
390.00, 1.413999 
395.00, 1.413869 
400.00, 1.413701 
405.00, 1.413568 
405.00, 1.413568 
400.00, 1.413687 
395.00, 1.413821 
390.00, 1.413960 
385.00, 1.414036 
380.00, 1.414178 
375.00, 1.414332 
370.00, 1.414404 
365.00, 1.414554 
360.00, 1.414715 
355.00, 1.414804 
350.00, 1.414965 
345.00, 1.415158 
340.00, 1.415252 
335.00, 1.415438 
330.00, 1.415632 
325.00, 1.415833 
320.00, 1.415936 
315.00, 1.416145 
310.00, 1.416374 
305.00, 1.416480 
300.00, 1.416704 
295.00, 1.416908 
290.00, 1.417111 
285.00, 1.417320 
280.00, 1.417544 
275.00, 1.417759 
270.00, 1.417963 
265.00, 1.418191 
260.00, 1.418404 
255.00, 1.418625 
250.00, 1.418861 
245.00, 1.419083 
240.00, 1.419318 
235.00, 1.419582 
230.00, 1.419821 
225.00, 1.420045 
220.00, 1.420292 
215.00, 1.420520 
210.00, 1.420742 
205.00, 1.420978 
200.00, 1.421193 
195.00, 1.421409 
190.00, 1.421616 
185.00, 1.421808 
180.00, 1.422016 
175.00, 1.422227 
170.00, 1.422404 
165.00, 1.422599 
160.00, 1.422783 
155.00, 1.422949 
150.00, 1.423125 
145.00, 1.423283 
140.00, 1.423438 
135.00, 1.423599 
130.00, 1.423757 
125.00, 1.423899 
120.00, 1.424049 
115.00, 1.424197 
110.00, 1.424327 
105.00, 1.424459 
100.00, 1.424592 
95.00, 1.424721 
90.00, 1.424830 
85.00, 1.424936 
80.00, 1.425030 
75.00, 1.425115 
70.00, 1.425182 
65.00, 1.425252 
60.00, 1.425300 
55.00, 1.425317 
50.00, 1.425312 
45.00, 1.425280 
40.00, 1.425179 
35.00, 1.424967 
30.00, 1.424619 
25.00, 1.424013 
20.00, 1.422581 
15.00, 1.419057 
10.00, 1.413781 
5.00, 1.411580 
-3.06E-14, 1.411047 
-5.00, 1.411494 
-10.00, 1.411939 
-15.00, 1.412346 
-20.00, 1.412615 
-25.00, 1.412807 
-30.00, 1.412918 
-35.00, 1.413039 
-40.00, 1.413106 
-45.00, 1.413158 
-50.00, 1.413193 
-55.00, 1.413201 
-60.00, 1.413204 
-65.00, 1.413187 
-70.00, 1.413174 
-75.00, 1.413152 
-80.00, 1.413134 
-85.00, 1.413107 
-90.00, 1.413075 
-95.00, 1.413035 
-100.00, 1.412998 
-105.00, 1.412968 
-110.00, 1.412927 
-115.00, 1.412893 
-120.00, 1.412851 
-125.00, 1.412805 
-130.00, 1.412762 
-135.00, 1.412716 
-140.00, 1.412671 
-145.00, 1.412623 
-150.00, 1.412576 
-155.00, 1.412539 
-160.00, 1.412480 
-165.00, 1.412435 
-170.00, 1.412393 
-175.00, 1.412351 
-180.00, 1.412306 
-185.00, 1.412253 
-190.00, 1.412209 
-195.00, 1.412171 
-200.00, 1.412121 
-205.00, 1.412080 
-210.00, 1.412034 
-215.00, 1.411987 
-220.00, 1.411949 
-225.00, 1.411909 
-230.00, 1.411868 
-235.00, 1.411833 
-240.00, 1.411793 
-245.00, 1.411758 
-250.00, 1.411721 
-255.00, 1.411677 
-260.00, 1.411639 
