#Magnetic Field (Oe),Voltage (V) 
-50.00, 1.399766 
-49.00, 1.399756 
-48.00, 1.399754 
-47.00, 1.399747 
-46.00, 1.399741 
-45.00, 1.399730 
-44.00, 1.399721 
-43.00, 1.399708 
-42.00, 1.399693 
-41.00, 1.399695 
-40.00, 1.399682 
-39.00, 1.399671 
-38.00, 1.399669 
-37.00, 1.399659 
-36.00, 1.399643 
-35.00, 1.399621 
-34.00, 1.399598 
-33.00, 1.399575 
-32.00, 1.399562 
-31.00, 1.399549 
-30.00, 1.399538 
-29.00, 1.399521 
-28.00, 1.399496 
-27.00, 1.399455 
-26.00, 1.399434 
-25.00, 1.399415 
-24.00, 1.399380 
-23.00, 1.399357 
-22.00, 1.399317 
-21.00, 1.399281 
-20.00, 1.399235 
-19.00, 1.399205 
-18.00, 1.399166 
-17.00, 1.399110 
-16.00, 1.399072 
-15.00, 1.399003 
-14.00, 1.398955 
-13.00, 1.398889 
-12.00, 1.398829 
-11.00, 1.398754 
-10.00, 1.398695 
-9.00, 1.398603 
-8.00, 1.398533 
-7.00, 1.398428 
-6.00, 1.398340 
-5.00, 1.398239 
-4.00, 1.398149 
-3.00, 1.398053 
-2.00, 1.397922 
-1.00, 1.397818 
-6.22E-15, 1.397673 
1.00, 1.397542 
2.00, 1.397346 
3.00, 1.397253 
4.00, 1.397088 
5.00, 1.397047 
6.00, 1.397020 
7.00, 1.396958 
8.00, 1.396923 
9.00, 1.396920 
10.00, 1.396907 
11.00, 1.396988 
12.00, 1.397094 
13.00, 1.397397 
14.00, 1.397925 
15.00, 1.398948 
16.00, 1.399862 
17.00, 1.402123 
18.00, 1.403230 
19.00, 1.404474 
20.00, 1.405493 
21.00, 1.407066 
22.00, 1.407551 
23.00, 1.408713 
24.00, 1.409200 
25.00, 1.410839 
26.00, 1.411012 
27.00, 1.411271 
28.00, 1.411671 
29.00, 1.411783 
30.00, 1.411956 
31.00, 1.412111 
32.00, 1.412271 
33.00, 1.412359 
34.00, 1.412437 
35.00, 1.412492 
36.00, 1.412557 
37.00, 1.412596 
38.00, 1.412644 
39.00, 1.412679 
40.00, 1.412715 
41.00, 1.412734 
42.00, 1.412771 
43.00, 1.412808 
44.00, 1.412839 
45.00, 1.412864 
46.00, 1.412873 
47.00, 1.412885 
48.00, 1.412888 
49.00, 1.412941 
50.00, 1.412945 
51.00, 1.412956 
51.00, 1.412954 
50.00, 1.412942 
49.00, 1.412932 
48.00, 1.412920 
47.00, 1.412908 
46.00, 1.412888 
45.00, 1.412883 
44.00, 1.412864 
43.00, 1.412856 
42.00, 1.412831 
41.00, 1.412802 
40.00, 1.412773 
39.00, 1.412737 
38.00, 1.412702 
37.00, 1.412661 
36.00, 1.412621 
35.00, 1.412573 
34.00, 1.412524 
33.00, 1.412445 
32.00, 1.412375 
31.00, 1.412283 
30.00, 1.412201 
29.00, 1.412088 
28.00, 1.411994 
27.00, 1.411850 
26.00, 1.411717 
25.00, 1.411586 
24.00, 1.411385 
23.00, 1.411217 
22.00, 1.410954 
21.00, 1.410732 
20.00, 1.410333 
19.00, 1.410010 
18.00, 1.409467 
17.00, 1.408967 
16.00, 1.407772 
15.00, 1.406924 
14.00, 1.405615 
13.00, 1.404209 
12.00, 1.402592 
11.00, 1.401843 
10.00, 1.401061 
9.00, 1.400396 
8.00, 1.400043 
7.00, 1.399291 
6.00, 1.398991 
5.00, 1.398682 
4.00, 1.398495 
3.00, 1.397892 
2.00, 1.397848 
1.00, 1.397848 
-6.22E-15, 1.397957 
-1.00, 1.397994 
-2.00, 1.398023 
-3.00, 1.398116 
-4.00, 1.398181 
-5.00, 1.398300 
-6.00, 1.398389 
-7.00, 1.398477 
-8.00, 1.398419 
-9.00, 1.398521 
-10.00, 1.398606 
-11.00, 1.398679 
-12.00, 1.398753 
-13.00, 1.398810 
-14.00, 1.398847 
-15.00, 1.398897 
-16.00, 1.398971 
-17.00, 1.399008 
-18.00, 1.399063 
-19.00, 1.399105 
-20.00, 1.399136 
-21.00, 1.399183 
-22.00, 1.399215 
-23.00, 1.399251 
-24.00, 1.399274 
-25.00, 1.399299 
-26.00, 1.399323 
-27.00, 1.399359 
-28.00, 1.399376 
-29.00, 1.399410 
-30.00, 1.399424 
-31.00, 1.399449 
-32.00, 1.399445 
-33.00, 1.399468 
-34.00, 1.399473 
-35.00, 1.399491 
-36.00, 1.399472 
-37.00, 1.399469 
-38.00, 1.399488 
-39.00, 1.399488 
-40.00, 1.399501 
-41.00, 1.399514 
-42.00, 1.399517 
-43.00, 1.399515 
-44.00, 1.399523 
-45.00, 1.399523 
-46.00, 1.399527 
-47.00, 1.399523 
-48.00, 1.399536 
-49.00, 1.399533 
-50.00, 1.399546 
