#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.245694 
-395.00, 0.245738 
-390.00, 0.245856 
-385.00, 0.245972 
-380.00, 0.246043 
-375.00, 0.246174 
-370.00, 0.246324 
-365.00, 0.246478 
-360.00, 0.246558 
-355.00, 0.246735 
-350.00, 0.246908 
-345.00, 0.247003 
-340.00, 0.247201 
-335.00, 0.247416 
-330.00, 0.247533 
-325.00, 0.247760 
-320.00, 0.248015 
-315.00, 0.248148 
-310.00, 0.248410 
-305.00, 0.248688 
-300.00, 0.248953 
-295.00, 0.249110 
-290.00, 0.249373 
-285.00, 0.249611 
-280.00, 0.249830 
-275.00, 0.250049 
-270.00, 0.250237 
-265.00, 0.250413 
-260.00, 0.250600 
-255.00, 0.250757 
-250.00, 0.250922 
-245.00, 0.251071 
-240.00, 0.251213 
-235.00, 0.251340 
-230.00, 0.251474 
-225.00, 0.251580 
-220.00, 0.251691 
-215.00, 0.251794 
-210.00, 0.251890 
-205.00, 0.251989 
-200.00, 0.252082 
-195.00, 0.252168 
-190.00, 0.252251 
-185.00, 0.252330 
-180.00, 0.252404 
-175.00, 0.252481 
-170.00, 0.252552 
-165.00, 0.252617 
-160.00, 0.252684 
-155.00, 0.252743 
-150.00, 0.252803 
-145.00, 0.252863 
-140.00, 0.252915 
-135.00, 0.252965 
-130.00, 0.253017 
-125.00, 0.253060 
-120.00, 0.253102 
-115.00, 0.253142 
-110.00, 0.253175 
-105.00, 0.253208 
-100.00, 0.253233 
-95.00, 0.253253 
-90.00, 0.253272 
-85.00, 0.253281 
-80.00, 0.253284 
-75.00, 0.253275 
-70.00, 0.253260 
-65.00, 0.253231 
-60.00, 0.253179 
-55.00, 0.253118 
-50.00, 0.253031 
-45.00, 0.252902 
-40.00, 0.252731 
-35.00, 0.252493 
-30.00, 0.252127 
-25.00, 0.251619 
-20.00, 0.250800 
-15.00, 0.249592 
-10.00, 0.247954 
-5.00, 0.246380 
-3.06E-14, 0.245370 
5.00, 0.244807 
10.00, 0.244428 
15.00, 0.244271 
20.00, 0.244245 
25.00, 0.244265 
30.00, 0.244302 
35.00, 0.244343 
40.00, 0.244390 
45.00, 0.244421 
50.00, 0.244442 
55.00, 0.244459 
60.00, 0.244470 
65.00, 0.244473 
70.00, 0.244477 
75.00, 0.244475 
80.00, 0.244468 
85.00, 0.244460 
90.00, 0.244451 
95.00, 0.244441 
100.00, 0.244426 
105.00, 0.244412 
110.00, 0.244396 
115.00, 0.244379 
120.00, 0.244358 
125.00, 0.244339 
130.00, 0.244320 
135.00, 0.244303 
140.00, 0.244281 
145.00, 0.244258 
150.00, 0.244239 
155.00, 0.244213 
160.00, 0.244191 
165.00, 0.244169 
170.00, 0.244145 
175.00, 0.244125 
180.00, 0.244102 
185.00, 0.244076 
190.00, 0.244053 
195.00, 0.244029 
200.00, 0.244009 
205.00, 0.243987 
210.00, 0.243963 
215.00, 0.243942 
220.00, 0.243919 
225.00, 0.243898 
230.00, 0.243876 
235.00, 0.243852 
240.00, 0.243828 
245.00, 0.243809 
250.00, 0.243788 
255.00, 0.243766 
260.00, 0.243746 
265.00, 0.243726 
270.00, 0.243706 
275.00, 0.243686 
280.00, 0.243668 
285.00, 0.243646 
290.00, 0.243625 
295.00, 0.243605 
300.00, 0.243586 
305.00, 0.243564 
