#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.169579 
-395.00, 0.169579 
-390.00, 0.169581 
-385.00, 0.169582 
-380.00, 0.169583 
-375.00, 0.169584 
-370.00, 0.169586 
-365.00, 0.169587 
-360.00, 0.169588 
-355.00, 0.169589 
-350.00, 0.169591 
-345.00, 0.169593 
-340.00, 0.169595 
-335.00, 0.169596 
-330.00, 0.169597 
-325.00, 0.169599 
-320.00, 0.169601 
-315.00, 0.169602 
-310.00, 0.169604 
-305.00, 0.169606 
-300.00, 0.169609 
-295.00, 0.169610 
-290.00, 0.169612 
-285.00, 0.169614 
-280.00, 0.169616 
-275.00, 0.169619 
-270.00, 0.169621 
-265.00, 0.169623 
-260.00, 0.169625 
-255.00, 0.169627 
-250.00, 0.169629 
-245.00, 0.169631 
-240.00, 0.169634 
-235.00, 0.169636 
-230.00, 0.169639 
-225.00, 0.169641 
-220.00, 0.169644 
-215.00, 0.169647 
-210.00, 0.169650 
-205.00, 0.169653 
-200.00, 0.169656 
-195.00, 0.169660 
-190.00, 0.169663 
-185.00, 0.169666 
-180.00, 0.169670 
-175.00, 0.169674 
-170.00, 0.169678 
-165.00, 0.169682 
-160.00, 0.169686 
-155.00, 0.169691 
-150.00, 0.169696 
-145.00, 0.169701 
-140.00, 0.169707 
-135.00, 0.169712 
-130.00, 0.169718 
-125.00, 0.169724 
-120.00, 0.169731 
-115.00, 0.169738 
-110.00, 0.169746 
-105.00, 0.169754 
-100.00, 0.169763 
-95.00, 0.169773 
-90.00, 0.169784 
-85.00, 0.169794 
-80.00, 0.169806 
-75.00, 0.169821 
-70.00, 0.169836 
-65.00, 0.169852 
-60.00, 0.169871 
-55.00, 0.169893 
-50.00, 0.169918 
-45.00, 0.169948 
-40.00, 0.169984 
-35.00, 0.170025 
-30.00, 0.170078 
-25.00, 0.170147 
-20.00, 0.170240 
-15.00, 0.170366 
-10.00, 0.170554 
-5.00, 0.170985 
-3.06E-14, 0.172054 
5.00, 0.173230 
10.00, 0.174502 
15.00, 0.175610 
20.00, 0.176548 
25.00, 0.177238 
30.00, 0.177598 
