#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.541735 
-395.00, 0.541736 
-390.00, 0.541745 
-385.00, 0.541741 
-380.00, 0.541748 
-375.00, 0.541753 
-370.00, 0.541762 
-365.00, 0.541768 
-360.00, 0.541771 
-355.00, 0.541782 
-350.00, 0.541787 
-345.00, 0.541794 
-340.00, 0.541798 
-335.00, 0.541806 
-330.00, 0.541809 
-325.00, 0.541818 
-320.00, 0.541834 
-315.00, 0.541842 
-310.00, 0.541851 
-305.00, 0.541855 
-300.00, 0.541865 
-295.00, 0.541866 
-290.00, 0.541875 
-285.00, 0.541883 
-280.00, 0.541889 
-275.00, 0.541899 
-270.00, 0.541908 
-265.00, 0.541917 
-260.00, 0.541925 
-255.00, 0.541935 
-250.00, 0.541945 
-245.00, 0.541954 
-240.00, 0.541966 
-235.00, 0.541982 
-230.00, 0.541995 
-225.00, 0.542009 
-220.00, 0.542018 
-215.00, 0.542027 
-210.00, 0.542035 
-205.00, 0.542049 
-200.00, 0.542056 
-195.00, 0.542067 
-190.00, 0.542078 
-185.00, 0.542092 
-180.00, 0.542105 
-175.00, 0.542113 
-170.00, 0.542123 
-165.00, 0.542141 
-160.00, 0.542148 
-155.00, 0.542158 
-150.00, 0.542172 
-145.00, 0.542185 
-140.00, 0.542195 
-135.00, 0.542210 
-130.00, 0.542221 
-125.00, 0.542233 
-120.00, 0.542242 
-115.00, 0.542250 
-110.00, 0.542261 
-105.00, 0.542272 
-100.00, 0.542282 
-95.00, 0.542284 
-90.00, 0.542290 
-85.00, 0.542302 
-80.00, 0.542306 
-75.00, 0.542309 
-70.00, 0.542311 
-65.00, 0.542315 
-60.00, 0.542315 
-55.00, 0.542308 
-50.00, 0.542299 
-45.00, 0.542282 
-40.00, 0.542277 
-35.00, 0.542256 
-30.00, 0.542220 
-25.00, 0.542177 
-20.00, 0.542119 
-15.00, 0.542038 
-10.00, 0.541945 
-5.00, 0.541798 
-3.06E-14, 0.541620 
5.00, 0.541446 
10.00, 0.541463 
15.00, 0.542002 
20.00, 0.543645 
25.00, 0.544614 
30.00, 0.544994 
35.00, 0.545130 
40.00, 0.545215 
45.00, 0.545261 
50.00, 0.545287 
55.00, 0.545302 
60.00, 0.545303 
65.00, 0.545300 
70.00, 0.545289 
75.00, 0.545271 
80.00, 0.545251 
85.00, 0.545230 
90.00, 0.545213 
95.00, 0.545188 
100.00, 0.545156 
105.00, 0.545130 
110.00, 0.545096 
115.00, 0.545064 
120.00, 0.545033 
125.00, 0.544994 
130.00, 0.544960 
135.00, 0.544930 
140.00, 0.544894 
145.00, 0.544858 
150.00, 0.544819 
155.00, 0.544779 
160.00, 0.544744 
165.00, 0.544698 
170.00, 0.544656 
175.00, 0.544614 
180.00, 0.544572 
185.00, 0.544526 
190.00, 0.544486 
195.00, 0.544438 
200.00, 0.544395 
205.00, 0.544351 
210.00, 0.544300 
215.00, 0.544254 
220.00, 0.544206 
225.00, 0.544153 
230.00, 0.544107 
235.00, 0.544059 
240.00, 0.544008 
245.00, 0.543957 
250.00, 0.543903 
255.00, 0.543852 
260.00, 0.543797 
265.00, 0.543745 
270.00, 0.543690 
275.00, 0.543635 
280.00, 0.543589 
285.00, 0.543529 
