#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.135979 
-395.00, 0.135983 
-390.00, 0.135995 
-385.00, 0.136007 
-380.00, 0.136013 
-375.00, 0.136026 
-370.00, 0.136039 
-365.00, 0.136053 
-360.00, 0.136060 
-355.00, 0.136074 
-350.00, 0.136089 
-345.00, 0.136096 
-340.00, 0.136112 
-335.00, 0.136127 
-330.00, 0.136136 
-325.00, 0.136152 
-320.00, 0.136170 
-315.00, 0.136178 
-310.00, 0.136196 
-305.00, 0.136215 
-300.00, 0.136234 
-295.00, 0.136245 
-290.00, 0.136263 
-285.00, 0.136281 
-280.00, 0.136298 
-275.00, 0.136317 
-270.00, 0.136336 
-265.00, 0.136355 
-260.00, 0.136376 
-255.00, 0.136396 
-250.00, 0.136416 
-245.00, 0.136434 
-240.00, 0.136459 
-235.00, 0.136482 
-230.00, 0.136506 
-225.00, 0.136529 
-220.00, 0.136552 
-215.00, 0.136579 
-210.00, 0.136603 
-205.00, 0.136630 
-200.00, 0.136656 
-195.00, 0.136683 
-190.00, 0.136712 
-185.00, 0.136740 
-180.00, 0.136768 
-175.00, 0.136800 
-170.00, 0.136829 
-165.00, 0.136860 
-160.00, 0.136893 
-155.00, 0.136924 
-150.00, 0.136957 
-145.00, 0.136993 
-140.00, 0.137027 
-135.00, 0.137061 
-130.00, 0.137098 
-125.00, 0.137134 
-120.00, 0.137170 
-115.00, 0.137209 
-110.00, 0.137246 
-105.00, 0.137286 
-100.00, 0.137324 
-95.00, 0.137363 
-90.00, 0.137404 
-85.00, 0.137443 
-80.00, 0.137483 
-75.00, 0.137524 
-70.00, 0.137563 
-65.00, 0.137601 
-60.00, 0.137641 
-55.00, 0.137678 
-50.00, 0.137713 
-45.00, 0.137748 
-40.00, 0.137779 
-35.00, 0.137806 
-30.00, 0.137828 
-25.00, 0.137841 
-20.00, 0.137841 
-15.00, 0.137821 
-10.00, 0.137767 
-5.00, 0.137634 
-3.06E-14, 0.137303 
5.00, 0.136519 
10.00, 0.136985 
15.00, 0.137310 
20.00, 0.137496 
25.00, 0.137549 
30.00, 0.137574 
35.00, 0.137583 
40.00, 0.137580 
45.00, 0.137570 
50.00, 0.137554 
55.00, 0.137531 
60.00, 0.137507 
65.00, 0.137479 
70.00, 0.137448 
75.00, 0.137417 
80.00, 0.137385 
85.00, 0.137351 
90.00, 0.137318 
95.00, 0.137284 
100.00, 0.137249 
105.00, 0.137215 
