#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.640518 
-395.00, 0.640531 
-390.00, 0.640577 
-385.00, 0.640624 
-380.00, 0.640653 
-375.00, 0.640709 
-370.00, 0.640764 
-365.00, 0.640818 
-360.00, 0.640848 
-355.00, 0.640913 
-350.00, 0.640982 
-345.00, 0.641013 
-340.00, 0.641099 
-335.00, 0.641183 
-330.00, 0.641230 
-325.00, 0.641342 
-320.00, 0.641435 
-315.00, 0.641481 
-310.00, 0.641582 
-305.00, 0.641687 
-300.00, 0.641790 
-295.00, 0.641853 
-290.00, 0.641958 
-285.00, 0.642038 
-280.00, 0.642119 
-275.00, 0.642212 
-270.00, 0.642290 
-265.00, 0.642358 
-260.00, 0.642421 
-255.00, 0.642480 
-250.00, 0.642530 
-245.00, 0.642586 
-240.00, 0.642646 
-235.00, 0.642690 
-230.00, 0.642734 
-225.00, 0.642777 
-220.00, 0.642819 
-215.00, 0.642851 
-210.00, 0.642884 
-205.00, 0.642918 
-200.00, 0.642951 
-195.00, 0.642977 
-190.00, 0.643011 
-185.00, 0.643038 
-180.00, 0.643067 
-175.00, 0.643093 
-170.00, 0.643119 
-165.00, 0.643142 
-160.00, 0.643163 
-155.00, 0.643187 
-150.00, 0.643208 
-145.00, 0.643229 
-140.00, 0.643251 
-135.00, 0.643271 
-130.00, 0.643291 
-125.00, 0.643306 
-120.00, 0.643315 
-115.00, 0.643334 
-110.00, 0.643347 
-105.00, 0.643349 
-100.00, 0.643358 
-95.00, 0.643367 
-90.00, 0.643379 
-85.00, 0.643384 
-80.00, 0.643390 
-75.00, 0.643393 
-70.00, 0.643394 
-65.00, 0.643386 
-60.00, 0.643382 
-55.00, 0.643369 
-50.00, 0.643350 
-45.00, 0.643322 
-40.00, 0.643282 
-35.00, 0.643222 
-30.00, 0.643127 
-25.00, 0.642992 
-20.00, 0.642719 
-15.00, 0.642327 
-10.00, 0.641661 
-5.00, 0.640893 
-3.06E-14, 0.640572 
5.00, 0.640320 
10.00, 0.640101 
15.00, 0.640002 
20.00, 0.639945 
25.00, 0.639912 
30.00, 0.639902 
35.00, 0.639896 
40.00, 0.639889 
45.00, 0.639883 
50.00, 0.639875 
55.00, 0.639874 
60.00, 0.639868 
65.00, 0.639860 
70.00, 0.639859 
75.00, 0.639855 
80.00, 0.639850 
85.00, 0.639841 
90.00, 0.639835 
95.00, 0.639828 
100.00, 0.639822 
105.00, 0.639817 
110.00, 0.639809 
115.00, 0.639807 
120.00, 0.639792 
125.00, 0.639789 
130.00, 0.639792 
135.00, 0.639789 
140.00, 0.639783 
145.00, 0.639775 
150.00, 0.639776 
155.00, 0.639770 
160.00, 0.639763 
165.00, 0.639754 
170.00, 0.639750 
175.00, 0.639743 
180.00, 0.639742 
185.00, 0.639734 
190.00, 0.639728 
195.00, 0.639721 
200.00, 0.639722 
205.00, 0.639710 
210.00, 0.639703 
215.00, 0.639701 
220.00, 0.639696 
225.00, 0.639691 
230.00, 0.639689 
235.00, 0.639684 
240.00, 0.639677 
245.00, 0.639677 
250.00, 0.639671 
255.00, 0.639669 
260.00, 0.639664 
265.00, 0.639656 
270.00, 0.639656 
275.00, 0.639654 
280.00, 0.639651 
285.00, 0.639645 
290.00, 0.639647 
295.00, 0.639637 
300.00, 0.639636 
305.00, 0.639628 
310.00, 0.639633 
315.00, 0.639629 
320.00, 0.639623 
325.00, 0.639622 
330.00, 0.639615 
335.00, 0.639608 
340.00, 0.639601 
345.00, 0.639606 
350.00, 0.639604 
355.00, 0.639598 
360.00, 0.639593 
365.00, 0.639593 
370.00, 0.639587 
375.00, 0.639586 
380.00, 0.639585 
385.00, 0.639579 
390.00, 0.639580 
395.00, 0.639578 
400.00, 0.639576 
405.00, 0.639573 
405.00, 0.639572 
400.00, 0.639571 
395.00, 0.639574 
390.00, 0.639578 
385.00, 0.639574 
380.00, 0.639582 
375.00, 0.639585 
370.00, 0.639585 
365.00, 0.639587 
360.00, 0.639600 
355.00, 0.639599 
350.00, 0.639601 
345.00, 0.639604 
340.00, 0.639604 
335.00, 0.639612 
330.00, 0.639616 
325.00, 0.639616 
320.00, 0.639625 
315.00, 0.639630 
310.00, 0.639632 
305.00, 0.639629 
300.00, 0.639633 
