#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.182091 
-49.00, 0.182089 
-48.00, 0.182087 
-47.00, 0.182084 
-46.00, 0.182082 
-45.00, 0.182078 
-44.00, 0.182076 
-43.00, 0.182073 
-42.00, 0.182069 
-41.00, 0.182066 
-40.00, 0.182063 
-39.00, 0.182057 
-38.00, 0.182054 
-37.00, 0.182048 
-36.00, 0.182043 
-35.00, 0.182040 
-34.00, 0.182032 
-33.00, 0.182027 
-32.00, 0.182018 
-31.00, 0.182011 
-30.00, 0.182001 
-29.00, 0.181993 
-28.00, 0.181981 
-27.00, 0.181969 
-26.00, 0.181954 
-25.00, 0.181941 
-24.00, 0.181921 
-23.00, 0.181904 
-22.00, 0.181876 
-21.00, 0.181850 
-20.00, 0.181806 
-19.00, 0.181754 
-18.00, 0.181686 
-17.00, 0.181589 
-16.00, 0.181505 
-15.00, 0.181369 
-14.00, 0.181275 
-13.00, 0.181096 
-12.00, 0.180976 
-11.00, 0.180791 
-10.00, 0.180662 
-9.00, 0.180457 
-8.00, 0.180300 
-7.00, 0.180094 
-6.00, 0.179929 
-5.00, 0.179696 
-4.00, 0.179517 
-3.00, 0.179352 
-2.00, 0.179132 
-1.00, 0.178977 
-6.22E-15, 0.178744 
1.00, 0.178586 
2.00, 0.178353 
3.00, 0.178243 
4.00, 0.178014 
5.00, 0.177698 
6.00, 0.177026 
7.00, 0.176207 
8.00, 0.176016 
9.00, 0.175898 
10.00, 0.175743 
11.00, 0.175659 
12.00, 0.175587 
13.00, 0.175503 
14.00, 0.175445 
15.00, 0.175376 
16.00, 0.175330 
17.00, 0.175278 
18.00, 0.175245 
19.00, 0.175205 
20.00, 0.175177 
21.00, 0.175143 
22.00, 0.175120 
23.00, 0.175091 
24.00, 0.175071 
25.00, 0.175045 
26.00, 0.175028 
27.00, 0.175010 
28.00, 0.174987 
29.00, 0.174970 
30.00, 0.174952 
31.00, 0.174940 
32.00, 0.174924 
33.00, 0.174912 
34.00, 0.174896 
35.00, 0.174886 
36.00, 0.174873 
37.00, 0.174864 
38.00, 0.174852 
39.00, 0.174844 
40.00, 0.174833 
41.00, 0.174826 
42.00, 0.174816 
43.00, 0.174809 
44.00, 0.174802 
45.00, 0.174794 
46.00, 0.174788 
47.00, 0.174781 
48.00, 0.174775 
49.00, 0.174768 
50.00, 0.174749 
51.00, 0.174756 
51.00, 0.174755 
50.00, 0.174762 
49.00, 0.174767 
48.00, 0.174775 
47.00, 0.174780 
46.00, 0.174788 
45.00, 0.174794 
44.00, 0.174802 
43.00, 0.174808 
42.00, 0.174815 
41.00, 0.174822 
40.00, 0.174830 
39.00, 0.174840 
38.00, 0.174848 
37.00, 0.174859 
36.00, 0.174868 
35.00, 0.174880 
34.00, 0.174891 
33.00, 0.174904 
32.00, 0.174916 
31.00, 0.174930 
30.00, 0.174942 
29.00, 0.174930 
28.00, 0.174972 
27.00, 0.174994 
26.00, 0.175011 
25.00, 0.175027 
24.00, 0.175052 
23.00, 0.175072 
22.00, 0.175101 
21.00, 0.175124 
20.00, 0.175157 
19.00, 0.175183 
18.00, 0.175213 
17.00, 0.175256 
16.00, 0.175307 
15.00, 0.175351 
14.00, 0.175418 
13.00, 0.175477 
12.00, 0.175559 
11.00, 0.175629 
10.00, 0.175711 
9.00, 0.175844 
8.00, 0.175961 
7.00, 0.176122 
6.00, 0.176256 
5.00, 0.176443 
4.00, 0.176593 
3.00, 0.176804 
2.00, 0.176910 
1.00, 0.177134 
-6.22E-15, 0.177299 
-1.00, 0.177527 
-2.00, 0.177691 
-3.00, 0.177923 
-4.00, 0.178093 
-5.00, 0.178278 
-6.00, 0.178520 
-7.00, 0.178690 
-8.00, 0.178949 
-9.00, 0.179124 
-10.00, 0.179366 
-11.00, 0.179545 
-12.00, 0.179791 
-13.00, 0.179983 
-14.00, 0.180230 
-15.00, 0.180408 
-16.00, 0.180623 
-17.00, 0.180743 
-18.00, 0.180901 
-19.00, 0.181010 
-20.00, 0.181104 
-21.00, 0.181223 
-22.00, 0.181315 
-23.00, 0.181417 
-24.00, 0.181475 
-25.00, 0.181545 
-26.00, 0.181587 
-27.00, 0.181637 
-28.00, 0.181668 
-29.00, 0.181703 
-30.00, 0.181729 
-31.00, 0.181756 
-32.00, 0.181773 
-33.00, 0.181795 
-34.00, 0.181808 
-35.00, 0.181824 
-36.00, 0.181834 
-37.00, 0.181845 
-38.00, 0.181857 
-39.00, 0.181865 
-40.00, 0.181876 
-41.00, 0.181884 
-42.00, 0.181893 
-43.00, 0.181900 
-44.00, 0.181908 
-45.00, 0.181914 
-46.00, 0.181921 
-47.00, 0.181926 
-48.00, 0.181931 
-49.00, 0.181937 
-50.00, 0.181942 
