#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.142210 
-49.00, 0.142208 
-48.00, 0.142207 
-47.00, 0.142205 
-46.00, 0.142203 
-45.00, 0.142201 
-44.00, 0.142198 
-43.00, 0.142196 
-42.00, 0.142193 
-41.00, 0.142190 
-40.00, 0.142188 
-39.00, 0.142185 
-38.00, 0.142183 
-37.00, 0.142178 
-36.00, 0.142174 
-35.00, 0.142171 
-34.00, 0.142167 
-33.00, 0.142162 
-32.00, 0.142156 
-31.00, 0.142152 
-30.00, 0.142145 
-29.00, 0.142139 
-28.00, 0.142129 
-27.00, 0.142120 
-26.00, 0.142109 
-25.00, 0.142098 
-24.00, 0.142082 
-23.00, 0.142068 
-22.00, 0.142047 
-21.00, 0.142025 
-20.00, 0.141991 
-19.00, 0.141964 
-18.00, 0.141935 
-17.00, 0.141889 
-16.00, 0.141841 
-15.00, 0.141744 
-14.00, 0.141673 
-13.00, 0.141566 
-12.00, 0.141456 
-11.00, 0.141279 
-10.00, 0.141156 
-9.00, 0.140942 
-8.00, 0.140804 
-7.00, 0.140581 
-6.00, 0.140396 
-5.00, 0.140174 
-4.00, 0.140004 
-3.00, 0.139826 
-2.00, 0.139589 
-1.00, 0.139418 
-6.22E-15, 0.139156 
1.00, 0.138988 
2.00, 0.138698 
3.00, 0.138597 
4.00, 0.138292 
5.00, 0.138094 
6.00, 0.137829 
7.00, 0.137659 
8.00, 0.137505 
9.00, 0.137404 
10.00, 0.137296 
11.00, 0.137232 
12.00, 0.137187 
13.00, 0.137130 
14.00, 0.137071 
15.00, 0.137020 
16.00, 0.136987 
17.00, 0.136951 
18.00, 0.136929 
19.00, 0.136903 
20.00, 0.136882 
21.00, 0.136859 
22.00, 0.136842 
23.00, 0.136821 
24.00, 0.136805 
25.00, 0.136783 
26.00, 0.136768 
27.00, 0.136756 
28.00, 0.136739 
29.00, 0.136728 
30.00, 0.136697 
31.00, 0.136687 
32.00, 0.136676 
33.00, 0.136667 
34.00, 0.136656 
35.00, 0.136649 
36.00, 0.136640 
37.00, 0.136633 
38.00, 0.136625 
39.00, 0.136618 
40.00, 0.136609 
41.00, 0.136604 
42.00, 0.136597 
43.00, 0.136593 
44.00, 0.136588 
45.00, 0.136581 
46.00, 0.136576 
47.00, 0.136570 
48.00, 0.136566 
49.00, 0.136561 
50.00, 0.136558 
51.00, 0.136553 
51.00, 0.136553 
50.00, 0.136558 
49.00, 0.136562 
48.00, 0.136567 
47.00, 0.136571 
46.00, 0.136577 
45.00, 0.136581 
44.00, 0.136586 
43.00, 0.136591 
42.00, 0.136596 
41.00, 0.136602 
40.00, 0.136607 
39.00, 0.136614 
38.00, 0.136621 
37.00, 0.136629 
36.00, 0.136636 
35.00, 0.136645 
34.00, 0.136651 
33.00, 0.136661 
32.00, 0.136669 
31.00, 0.136680 
30.00, 0.136689 
29.00, 0.136702 
28.00, 0.136712 
27.00, 0.136727 
26.00, 0.136738 
25.00, 0.136751 
24.00, 0.136767 
23.00, 0.136783 
22.00, 0.136803 
21.00, 0.136819 
20.00, 0.136841 
19.00, 0.136859 
18.00, 0.136887 
17.00, 0.136911 
16.00, 0.136943 
15.00, 0.136971 
14.00, 0.137014 
13.00, 0.137047 
12.00, 0.137100 
11.00, 0.137148 
10.00, 0.137200 
9.00, 0.137284 
8.00, 0.137348 
7.00, 0.137486 
6.00, 0.137583 
5.00, 0.137727 
4.00, 0.137841 
3.00, 0.138000 
2.00, 0.138082 
1.00, 0.138272 
-6.22E-15, 0.138522 
-1.00, 0.138733 
-2.00, 0.138899 
-3.00, 0.139130 
-4.00, 0.139270 
-5.00, 0.139428 
-6.00, 0.139653 
-7.00, 0.139805 
-8.00, 0.140036 
-9.00, 0.140195 
-10.00, 0.140471 
-11.00, 0.140665 
-12.00, 0.141023 
-13.00, 0.141256 
-14.00, 0.141379 
-15.00, 0.141460 
-16.00, 0.141558 
-17.00, 0.141621 
-18.00, 0.141725 
-19.00, 0.141768 
-20.00, 0.141809 
-21.00, 0.141859 
-22.00, 0.141895 
-23.00, 0.141936 
-24.00, 0.141961 
-25.00, 0.141990 
-26.00, 0.142014 
-27.00, 0.142035 
-28.00, 0.142050 
-29.00, 0.142067 
-30.00, 0.142077 
-31.00, 0.142089 
-32.00, 0.142097 
-33.00, 0.142107 
-34.00, 0.142112 
-35.00, 0.142120 
-36.00, 0.142124 
-37.00, 0.142129 
-38.00, 0.142135 
-39.00, 0.142138 
-40.00, 0.142143 
-41.00, 0.142146 
-42.00, 0.142151 
-43.00, 0.142154 
-44.00, 0.142158 
-45.00, 0.142160 
-46.00, 0.142163 
-47.00, 0.142165 
-48.00, 0.142168 
-49.00, 0.142170 
-50.00, 0.142172 
