#Magnetic Field (Oe),Voltage (V) 
-1.00, 0.061477 
-0.90, 0.061473 
-0.80, 0.061473 
-0.70, 0.061473 
-0.60, 0.061470 
-0.50, 0.061470 
-0.40, 0.061470 
-0.30, 0.061466 
-0.20, 0.061467 
-0.10, 0.061463 
0.00, 0.061463 
0.10, 0.061463 
0.20, 0.061460 
0.30, 0.061460 
0.40, 0.061460 
0.50, 0.061457 
0.60, 0.061457 
0.70, 0.061457 
0.80, 0.061454 
0.90, 0.061454 
1.00, 0.061454 
1.00, 0.061454 
0.90, 0.061454 
0.80, 0.061455 
0.70, 0.061458 
0.60, 0.061458 
0.50, 0.061458 
0.40, 0.061462 
0.30, 0.061462 
0.20, 0.061462 
0.10, 0.061465 
0.00, 0.061466 
-0.10, 0.061466 
-0.20, 0.061469 
-0.30, 0.061470 
-0.40, 0.061474 
-0.50, 0.061474 
-0.60, 0.061473 
-0.70, 0.061478 
-0.80, 0.061478 
-0.90, 0.061478 
-1.00, 0.061481 
