#Magnetic Field (Oe),Voltage (V) 
-12.00, 0.062057 
-11.90, 0.062040 
-11.80, 0.062040 
-11.70, 0.062040 
-11.60, 0.062023 
-11.50, 0.062023 
-11.40, 0.062023 
-11.30, 0.062006 
-11.20, 0.062006 
-11.10, 0.062006 
-11.00, 0.061988 
-10.90, 0.061988 
-10.80, 0.061988 
-10.70, 0.061970 
-10.60, 0.061970 
-10.50, 0.061970 
-10.40, 0.061952 
-10.30, 0.061951 
-10.20, 0.061933 
-10.10, 0.061933 
-10.00, 0.061933 
-9.90, 0.061914 
-9.80, 0.061914 
-9.70, 0.061914 
-9.60, 0.061896 
-9.50, 0.061896 
-9.40, 0.061896 
-9.30, 0.061878 
-9.20, 0.061877 
-9.10, 0.061877 
-9.00, 0.061860 
-9.00, 0.061859 
-9.10, 0.061872 
-9.20, 0.061872 
-9.30, 0.061873 
-9.40, 0.061886 
-9.50, 0.061886 
-9.60, 0.061886 
-9.70, 0.061901 
-9.80, 0.061901 
-9.90, 0.061901 
-10.00, 0.061916 
-10.10, 0.061916 
-10.20, 0.061916 
-10.30, 0.061931 
-10.40, 0.061932 
-10.50, 0.061947 
-10.60, 0.061948 
-10.70, 0.061948 
-10.80, 0.061965 
-10.90, 0.061965 
-11.00, 0.061965 
-11.10, 0.061983 
-11.20, 0.061983 
-11.30, 0.061983 
-11.40, 0.062001 
-11.50, 0.062002 
-11.60, 0.062001 
-11.70, 0.062020 
-11.80, 0.062020 
-11.90, 0.062021 
-12.00, 0.062040 
