#Magnetic Field (Oe),Voltage (V) 
-400.00, 0.489971 
-395.00, 0.489986 
-390.00, 0.490025 
-385.00, 0.490062 
-380.00, 0.490083 
-375.00, 0.490122 
-370.00, 0.490166 
-365.00, 0.490209 
-360.00, 0.490231 
-355.00, 0.490278 
-350.00, 0.490324 
-345.00, 0.490348 
-340.00, 0.490400 
-335.00, 0.490450 
-330.00, 0.490479 
-325.00, 0.490532 
-320.00, 0.490590 
-315.00, 0.490618 
-310.00, 0.490676 
-305.00, 0.490739 
-300.00, 0.490801 
-295.00, 0.490836 
-290.00, 0.490898 
-285.00, 0.490960 
-280.00, 0.491018 
-275.00, 0.491083 
-270.00, 0.491145 
-265.00, 0.491210 
-260.00, 0.491280 
-255.00, 0.491349 
-250.00, 0.491419 
-245.00, 0.491496 
-240.00, 0.491571 
-235.00, 0.491648 
-230.00, 0.491733 
-225.00, 0.491815 
-220.00, 0.491899 
-215.00, 0.491990 
-210.00, 0.492079 
-205.00, 0.492175 
-200.00, 0.492271 
-195.00, 0.492368 
-190.00, 0.492474 
-185.00, 0.492578 
-180.00, 0.492685 
-175.00, 0.492801 
-170.00, 0.492915 
-165.00, 0.493031 
-160.00, 0.493157 
-155.00, 0.493282 
-150.00, 0.493407 
-145.00, 0.493545 
-140.00, 0.493679 
-135.00, 0.493817 
-130.00, 0.493969 
-125.00, 0.494113 
-120.00, 0.494262 
-115.00, 0.494423 
-110.00, 0.494582 
-105.00, 0.494752 
-100.00, 0.494918 
-95.00, 0.495091 
-90.00, 0.495275 
-85.00, 0.495453 
-80.00, 0.495636 
-75.00, 0.495833 
-70.00, 0.496023 
-65.00, 0.496219 
-60.00, 0.496433 
-55.00, 0.496641 
-50.00, 0.496850 
-45.00, 0.497076 
-40.00, 0.497298 
-35.00, 0.497524 
-30.00, 0.497772 
-25.00, 0.498014 
-20.00, 0.498279 
-15.00, 0.498540 
-10.00, 0.498814 
-5.00, 0.499121 
-3.06E-14, 0.499427 
5.00, 0.499740 
10.00, 0.500244 
15.00, 0.500196 
20.00, 0.499948 
25.00, 0.499592 
30.00, 0.499281 
35.00, 0.498929 
40.00, 0.498529 
45.00, 0.498139 
50.00, 0.497556 
55.00, 0.497172 
60.00, 0.496775 
65.00, 0.496528 
70.00, 0.496177 
75.00, 0.495904 
80.00, 0.495691 
85.00, 0.495476 
90.00, 0.495249 
95.00, 0.495048 
100.00, 0.494792 
105.00, 0.494614 
110.00, 0.494431 
115.00, 0.494273 
120.00, 0.494105 
125.00, 0.493921 
130.00, 0.493749 
135.00, 0.493590 
140.00, 0.493441 
145.00, 0.493308 
150.00, 0.493173 
155.00, 0.493033 
160.00, 0.492910 
165.00, 0.492791 
170.00, 0.492657 
175.00, 0.492541 
180.00, 0.492416 
185.00, 0.492307 
190.00, 0.492202 
195.00, 0.492097 
200.00, 0.492001 
205.00, 0.491906 
210.00, 0.491811 
215.00, 0.491705 
220.00, 0.491619 
225.00, 0.491532 
230.00, 0.491422 
235.00, 0.491344 
240.00, 0.491259 
245.00, 0.491187 
250.00, 0.491113 
255.00, 0.491037 
260.00, 0.490970 
265.00, 0.490903 
270.00, 0.490836 
275.00, 0.490775 
280.00, 0.490716 
285.00, 0.490653 
290.00, 0.490598 
295.00, 0.490542 
300.00, 0.490490 
305.00, 0.490427 
310.00, 0.490395 
315.00, 0.490337 
320.00, 0.490283 
325.00, 0.490255 
330.00, 0.490200 
335.00, 0.490150 
340.00, 0.490094 
345.00, 0.490070 
350.00, 0.490020 
355.00, 0.489975 
360.00, 0.489953 
365.00, 0.489909 
370.00, 0.489867 
375.00, 0.489846 
380.00, 0.489805 
385.00, 0.489767 
390.00, 0.489746 
395.00, 0.489710 
400.00, 0.489672 
405.00, 0.489636 
405.00, 0.489634 
400.00, 0.489665 
395.00, 0.489699 
