#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.317988 
-49.00, 0.317987 
-48.00, 0.317983 
-47.00, 0.317980 
-46.00, 0.317977 
-45.00, 0.317975 
-44.00, 0.317970 
-43.00, 0.317973 
-42.00, 0.317964 
-41.00, 0.317965 
-40.00, 0.317956 
-39.00, 0.317956 
-38.00, 0.317944 
-37.00, 0.317939 
-36.00, 0.317933 
-35.00, 0.317926 
-34.00, 0.317919 
-33.00, 0.317912 
-32.00, 0.317902 
-31.00, 0.317891 
-30.00, 0.317876 
-29.00, 0.317862 
-28.00, 0.317847 
-27.00, 0.317831 
-26.00, 0.317809 
-25.00, 0.317783 
-24.00, 0.317744 
-23.00, 0.317712 
-22.00, 0.317665 
-21.00, 0.317608 
-20.00, 0.317546 
-19.00, 0.317526 
-18.00, 0.317445 
-17.00, 0.317354 
-16.00, 0.317255 
-15.00, 0.317154 
-14.00, 0.317035 
-13.00, 0.316647 
-12.00, 0.316359 
-11.00, 0.316095 
-10.00, 0.315869 
-9.00, 0.315357 
-8.00, 0.315161 
-7.00, 0.314881 
-6.00, 0.314675 
-5.00, 0.314409 
-4.00, 0.314199 
-3.00, 0.313998 
-2.00, 0.313729 
-1.00, 0.313532 
-6.22E-15, 0.313254 
1.00, 0.313008 
2.00, 0.312746 
3.00, 0.312606 
4.00, 0.312302 
5.00, 0.312071 
6.00, 0.311776 
7.00, 0.311549 
8.00, 0.311254 
9.00, 0.311041 
10.00, 0.310740 
11.00, 0.310466 
12.00, 0.310224 
13.00, 0.309951 
14.00, 0.309720 
15.00, 0.309426 
16.00, 0.309213 
17.00, 0.308944 
18.00, 0.308701 
19.00, 0.308485 
20.00, 0.308334 
21.00, 0.308165 
22.00, 0.308050 
23.00, 0.307924 
24.00, 0.307836 
25.00, 0.307714 
26.00, 0.307641 
27.00, 0.307574 
28.00, 0.307482 
29.00, 0.307420 
30.00, 0.307343 
31.00, 0.307290 
32.00, 0.307221 
33.00, 0.307174 
34.00, 0.307115 
35.00, 0.307072 
36.00, 0.307003 
37.00, 0.306961 
38.00, 0.306913 
39.00, 0.306879 
40.00, 0.306837 
41.00, 0.306807 
42.00, 0.306769 
43.00, 0.306742 
44.00, 0.306717 
45.00, 0.306681 
46.00, 0.306658 
47.00, 0.306625 
48.00, 0.306608 
49.00, 0.306588 
50.00, 0.306567 
51.00, 0.306544 
51.00, 0.306542 
50.00, 0.306580 
49.00, 0.306594 
48.00, 0.306612 
47.00, 0.306635 
46.00, 0.306681 
45.00, 0.306698 
44.00, 0.306731 
43.00, 0.306761 
42.00, 0.306826 
41.00, 0.306845 
40.00, 0.306900 
39.00, 0.306926 
38.00, 0.306973 
37.00, 0.307014 
36.00, 0.307050 
35.00, 0.307103 
34.00, 0.307159 
33.00, 0.307204 
32.00, 0.307255 
31.00, 0.307324 
30.00, 0.307365 
29.00, 0.307442 
28.00, 0.307503 
27.00, 0.307599 
26.00, 0.307673 
25.00, 0.307747 
24.00, 0.307857 
23.00, 0.307962 
22.00, 0.308088 
21.00, 0.308205 
20.00, 0.308381 
19.00, 0.308536 
18.00, 0.308746 
17.00, 0.308984 
16.00, 0.309263 
15.00, 0.309482 
14.00, 0.309780 
13.00, 0.310014 
12.00, 0.310306 
11.00, 0.310525 
10.00, 0.310773 
9.00, 0.311051 
8.00, 0.311277 
7.00, 0.311575 
6.00, 0.311804 
5.00, 0.312095 
4.00, 0.312320 
3.00, 0.312613 
2.00, 0.312753 
1.00, 0.313035 
-6.22E-15, 0.313257 
-1.00, 0.313542 
-2.00, 0.313743 
-3.00, 0.314024 
-4.00, 0.314224 
-5.00, 0.314423 
-6.00, 0.314688 
-7.00, 0.314888 
-8.00, 0.315169 
-9.00, 0.315370 
-10.00, 0.315656 
-11.00, 0.315880 
-12.00, 0.316167 
-13.00, 0.316408 
-14.00, 0.316719 
-15.00, 0.316975 
-16.00, 0.317203 
-17.00, 0.317309 
-18.00, 0.317438 
-19.00, 0.317512 
-20.00, 0.317583 
-21.00, 0.317667 
-22.00, 0.317720 
-23.00, 0.317779 
-24.00, 0.317816 
-25.00, 0.317861 
-26.00, 0.317888 
-27.00, 0.317917 
-28.00, 0.317936 
-29.00, 0.317957 
-30.00, 0.317969 
-31.00, 0.317985 
-32.00, 0.317996 
-33.00, 0.318008 
-34.00, 0.318018 
-35.00, 0.318029 
-36.00, 0.318037 
-37.00, 0.318045 
-38.00, 0.318053 
-39.00, 0.318058 
-40.00, 0.318065 
-41.00, 0.318070 
-42.00, 0.318077 
-43.00, 0.318081 
-44.00, 0.318088 
-45.00, 0.318092 
-46.00, 0.318097 
-47.00, 0.318100 
-48.00, 0.318104 
-49.00, 0.318110 
-50.00, 0.318114 
