#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.155015 
-49.00, 0.155019 
-48.00, 0.155023 
-47.00, 0.155028 
-46.00, 0.155031 
-45.00, 0.155036 
-44.00, 0.155040 
-43.00, 0.155045 
-42.00, 0.155050 
-41.00, 0.155055 
-40.00, 0.155059 
-39.00, 0.155065 
-38.00, 0.155070 
-37.00, 0.155077 
-36.00, 0.155082 
-35.00, 0.155087 
-34.00, 0.155096 
-33.00, 0.155102 
-32.00, 0.155109 
-31.00, 0.155116 
-30.00, 0.155125 
-29.00, 0.155132 
-28.00, 0.155141 
-27.00, 0.155149 
-26.00, 0.155160 
-25.00, 0.155169 
-24.00, 0.155180 
-23.00, 0.155190 
-22.00, 0.155204 
-21.00, 0.155215 
-20.00, 0.155232 
-19.00, 0.155243 
-18.00, 0.155256 
-17.00, 0.155273 
-16.00, 0.155288 
-15.00, 0.155308 
-14.00, 0.155325 
-13.00, 0.155349 
-12.00, 0.155373 
-11.00, 0.155406 
-10.00, 0.155432 
-9.00, 0.155472 
-8.00, 0.155503 
-7.00, 0.155552 
-6.00, 0.155595 
-5.00, 0.155657 
-4.00, 0.155708 
-3.00, 0.155770 
-2.00, 0.155855 
-1.00, 0.155935 
-6.22E-15, 0.156056 
1.00, 0.156180 
2.00, 0.156390 
3.00, 0.156493 
4.00, 0.156710 
5.00, 0.156911 
6.00, 0.157196 
7.00, 0.157387 
8.00, 0.157679 
9.00, 0.157859 
10.00, 0.158126 
11.00, 0.158317 
12.00, 0.158508 
13.00, 0.158823 
14.00, 0.159015 
15.00, 0.159341 
16.00, 0.159527 
17.00, 0.159806 
18.00, 0.159987 
19.00, 0.160255 
20.00, 0.160917 
21.00, 0.161093 
22.00, 0.161210 
23.00, 0.161309 
24.00, 0.161377 
25.00, 0.161443 
26.00, 0.161480 
27.00, 0.161514 
28.00, 0.161559 
29.00, 0.161578 
30.00, 0.161606 
31.00, 0.161621 
32.00, 0.161642 
33.00, 0.161655 
34.00, 0.161673 
35.00, 0.161685 
36.00, 0.161699 
37.00, 0.161708 
38.00, 0.161717 
39.00, 0.161724 
40.00, 0.161733 
41.00, 0.161739 
42.00, 0.161745 
43.00, 0.161748 
44.00, 0.161753 
45.00, 0.161758 
46.00, 0.161763 
47.00, 0.161767 
48.00, 0.161770 
49.00, 0.161774 
50.00, 0.161776 
51.00, 0.161779 
51.00, 0.161779 
50.00, 0.161777 
49.00, 0.161774 
48.00, 0.161771 
47.00, 0.161768 
46.00, 0.161763 
45.00, 0.161760 
44.00, 0.161755 
43.00, 0.161751 
42.00, 0.161747 
41.00, 0.161746 
40.00, 0.161741 
39.00, 0.161734 
38.00, 0.161727 
37.00, 0.161717 
36.00, 0.161708 
35.00, 0.161695 
34.00, 0.161684 
33.00, 0.161670 
32.00, 0.161657 
31.00, 0.161639 
30.00, 0.161625 
29.00, 0.161601 
28.00, 0.161580 
27.00, 0.161547 
26.00, 0.161522 
25.00, 0.161494 
24.00, 0.161451 
23.00, 0.161412 
22.00, 0.161344 
21.00, 0.161287 
20.00, 0.161179 
19.00, 0.161097 
18.00, 0.160866 
17.00, 0.160752 
16.00, 0.160553 
15.00, 0.160431 
14.00, 0.160222 
13.00, 0.160076 
12.00, 0.159759 
11.00, 0.159564 
10.00, 0.159349 
9.00, 0.159009 
8.00, 0.158828 
7.00, 0.158569 
6.00, 0.158392 
5.00, 0.158107 
4.00, 0.157866 
3.00, 0.157327 
2.00, 0.157119 
1.00, 0.156752 
-6.22E-15, 0.156589 
-1.00, 0.156398 
-2.00, 0.156284 
-3.00, 0.156149 
-4.00, 0.156044 
-5.00, 0.155967 
-6.00, 0.155883 
-7.00, 0.155815 
-8.00, 0.155739 
-9.00, 0.155690 
-10.00, 0.155621 
-11.00, 0.155589 
-12.00, 0.155545 
-13.00, 0.155512 
-14.00, 0.155480 
-15.00, 0.155460 
-16.00, 0.155339 
-17.00, 0.155307 
-18.00, 0.155258 
-19.00, 0.155245 
-20.00, 0.155233 
-21.00, 0.155216 
-22.00, 0.155205 
-23.00, 0.155190 
-24.00, 0.155181 
-25.00, 0.155169 
-26.00, 0.155160 
-27.00, 0.155148 
-28.00, 0.155141 
-29.00, 0.155133 
-30.00, 0.155126 
-31.00, 0.155117 
-32.00, 0.155110 
-33.00, 0.155102 
-34.00, 0.155096 
-35.00, 0.155088 
-36.00, 0.155084 
-37.00, 0.155078 
-38.00, 0.155072 
-39.00, 0.155067 
-40.00, 0.155060 
-41.00, 0.155056 
-42.00, 0.155051 
-43.00, 0.155046 
-44.00, 0.155041 
-45.00, 0.155037 
-46.00, 0.155032 
-47.00, 0.155028 
-48.00, 0.155024 
-49.00, 0.155021 
-50.00, 0.155016 
