E(MeV)   Range(g/cm2)
111.125 0.218094
115.591 0.670359
120.058 1.31353
124.525 2.11975
128.992 3.06748
133.458 4.13923
137.925 5.32033
142.392 6.59838
146.858 7.96272
151.325 9.40413
155.792 10.9146
160.259 12.4871
164.725 14.1154
169.192 15.7941
173.659 17.5183
178.125 19.2838
182.592 21.0867
187.059 22.9236
191.525 24.7914
195.992 26.6873
200.459 28.6089
204.926 30.5539
209.392 32.5203
213.859 34.5061
218.326 36.5099
222.792 38.5299
227.259 40.5649
231.726 42.6136
236.193 44.6748
240.659 46.7474
245.126 48.8305
249.593 50.9232
254.059 53.0247
258.526 55.1342
262.993 57.251
267.46 59.3746
271.926 61.5042
276.393 63.6393
280.86 65.7795
285.326 67.9243
289.793 70.0733
294.26 72.226
298.727 74.382
303.193 76.5411
307.66 78.703
312.127 80.8672
316.593 83.0336
321.06 85.2019
325.527 87.3718
329.993 89.5432
334.46 91.7158
338.927 93.8894
343.394 96.0638
347.86 98.2389
352.327 100.415
356.794 102.591
361.26 104.767
365.727 106.943
370.194 109.12
374.661 111.296
379.127 113.472
383.594 115.647
388.061 117.823
392.527 119.997
396.994 122.171
401.461 124.345
405.928 126.518
410.394 128.69
414.861 130.861
419.328 133.031
423.794 135.2
428.261 137.368
432.728 139.535
437.195 141.701
441.661 143.866
446.128 146.03
450.595 148.192
455.061 150.354
459.528 152.514
463.995 154.672
468.462 156.83
472.928 158.985
477.395 161.14
481.862 163.293
486.328 165.445
490.795 167.595
495.262 169.744
499.728 171.891
504.195 174.037
508.662 176.181
513.129 178.324
517.595 180.465
522.062 182.605
526.529 184.743
530.995 186.88
535.462 189.015
539.929 191.148
544.396 193.28
548.862 195.41
553.329 197.539
557.796 199.666
562.262 201.792
566.729 203.916
571.196 206.038
575.663 208.159
580.129 210.278
584.596 212.395
589.063 214.511
593.529 216.626
597.996 218.738
602.463 220.85
606.93 222.959
611.396 225.067
615.863 227.173
620.33 229.278
624.796 231.381
629.263 233.483
633.73 235.583
638.196 237.681
642.663 239.778
647.13 241.873
651.597 243.967
656.063 246.059
660.53 248.15
664.997 250.239
669.463 252.326
673.93 254.412
678.397 256.496
682.864 258.579
687.33 260.661
691.797 262.74
696.264 264.818
700.73 266.895
705.197 268.97
709.664 271.044
714.131 273.116
718.597 275.187
723.064 277.256
727.531 279.324
731.997 281.39
736.464 283.454
740.931 285.518
745.398 287.579
749.864 289.64
754.331 291.699
758.798 293.756
763.264 295.812
767.731 297.866
772.198 299.92
776.664 301.971
781.131 304.021
785.598 306.07
790.065 308.118
794.531 310.164
798.998 312.208
803.465 314.251
807.931 316.293
812.398 318.334
816.865 320.373
821.332 322.41
825.798 324.447
830.265 326.482
834.732 328.515
839.198 330.548
843.665 332.578
848.132 334.608
852.599 336.636
857.065 338.663
861.532 340.689
865.999 342.713
870.465 344.736
874.932 346.758
879.399 348.778
883.866 350.797
888.332 352.815
892.799 354.832
897.266 356.847
901.732 358.861
906.199 360.874
910.666 362.885
915.133 364.896
919.599 366.905
924.066 368.913
928.533 370.919
932.999 372.924
937.466 374.928
941.933 376.931
946.399 378.933
950.866 380.933
955.333 382.933
959.8 384.931
964.266 386.928
968.733 388.923
973.2 390.918
977.666 392.911
982.133 394.903
986.6 396.894
991.067 398.884
995.533 400.873
1000 402.861
