E(MeV)  t(s)
111.125 2.96059e-09
115.591 7.12799e-09
120.058 1.19809e-08
124.525 1.73261e-08
128.992 2.30515e-08
133.458 2.90817e-08
137.925 3.53618e-08
142.392 4.18504e-08
146.858 4.85147e-08
151.325 5.53284e-08
155.792 6.22701e-08
160.259 6.93219e-08
164.725 7.64688e-08
169.192 8.36981e-08
173.659 9.09989e-08
178.125 9.8362e-08
182.592 1.05779e-07
187.059 1.13243e-07
191.525 1.20749e-07
195.992 1.28289e-07
200.459 1.35861e-07
204.926 1.43459e-07
209.392 1.51081e-07
213.859 1.58722e-07
218.326 1.6638e-07
222.792 1.74052e-07
227.259 1.81735e-07
231.726 1.89429e-07
236.193 1.9713e-07
240.659 2.04838e-07
245.126 2.1255e-07
249.593 2.20266e-07
254.059 2.27983e-07
258.526 2.35702e-07
262.993 2.4342e-07
267.46 2.51138e-07
271.926 2.58854e-07
276.393 2.66567e-07
280.86 2.74278e-07
285.326 2.81984e-07
289.793 2.89687e-07
294.26 2.97384e-07
298.727 3.05076e-07
303.193 3.12763e-07
307.66 3.20444e-07
312.127 3.28118e-07
316.593 3.35786e-07
321.06 3.43447e-07
325.527 3.511e-07
329.993 3.58747e-07
334.46 3.66385e-07
338.927 3.74016e-07
343.394 3.8164e-07
347.86 3.89255e-07
352.327 3.96862e-07
356.794 4.04461e-07
361.26 4.12051e-07
365.727 4.19633e-07
370.194 4.27207e-07
374.661 4.34772e-07
379.127 4.42328e-07
383.594 4.49876e-07
388.061 4.57415e-07
392.527 4.64946e-07
396.994 4.72467e-07
401.461 4.7998e-07
405.928 4.87485e-07
410.394 4.9498e-07
414.861 5.02467e-07
419.328 5.09945e-07
423.794 5.17414e-07
428.261 5.24875e-07
432.728 5.32326e-07
437.195 5.3977e-07
441.661 5.47204e-07
446.128 5.5463e-07
450.595 5.62047e-07
455.061 5.69456e-07
459.528 5.76856e-07
463.995 5.84248e-07
468.462 5.91631e-07
472.928 5.99005e-07
477.395 6.06372e-07
481.862 6.13729e-07
486.328 6.21079e-07
490.795 6.2842e-07
495.262 6.35753e-07
499.728 6.43078e-07
504.195 6.50395e-07
508.662 6.57703e-07
513.129 6.65004e-07
517.595 6.72296e-07
522.062 6.79581e-07
526.529 6.86857e-07
530.995 6.94126e-07
535.462 7.01387e-07
539.929 7.0864e-07
544.396 7.15885e-07
548.862 7.23123e-07
553.329 7.30353e-07
557.796 7.37575e-07
562.262 7.4479e-07
566.729 7.51997e-07
571.196 7.59197e-07
575.663 7.66389e-07
580.129 7.73574e-07
584.596 7.80752e-07
589.063 7.87922e-07
593.529 7.95085e-07
597.996 8.02241e-07
602.463 8.0939e-07
606.93 8.16532e-07
611.396 8.23666e-07
615.863 8.30794e-07
620.33 8.37915e-07
624.796 8.45029e-07
629.263 8.52136e-07
633.73 8.59236e-07
638.196 8.66329e-07
642.663 8.73416e-07
647.13 8.80496e-07
651.597 8.87569e-07
656.063 8.94636e-07
660.53 9.01696e-07
664.997 9.08749e-07
669.463 9.15796e-07
673.93 9.22837e-07
678.397 9.29871e-07
682.864 9.36899e-07
687.33 9.43921e-07
691.797 9.50936e-07
696.264 9.57945e-07
700.73 9.64948e-07
705.197 9.71945e-07
709.664 9.78936e-07
714.131 9.8592e-07
718.597 9.92899e-07
723.064 9.99871e-07
727.531 1.00684e-06
731.997 1.0138e-06
736.464 1.02075e-06
740.931 1.0277e-06
745.398 1.03465e-06
749.864 1.04158e-06
754.331 1.04851e-06
758.798 1.05544e-06
763.264 1.06236e-06
767.731 1.06927e-06
772.198 1.07618e-06
776.664 1.08309e-06
781.131 1.08999e-06
785.598 1.09688e-06
790.065 1.10376e-06
794.531 1.11065e-06
798.998 1.11752e-06
803.465 1.12439e-06
807.931 1.13126e-06
812.398 1.13812e-06
816.865 1.14497e-06
821.332 1.15182e-06
825.798 1.15867e-06
830.265 1.16551e-06
834.732 1.17234e-06
839.198 1.17917e-06
843.665 1.18599e-06
848.132 1.19281e-06
852.599 1.19962e-06
857.065 1.20643e-06
861.532 1.21324e-06
865.999 1.22004e-06
870.465 1.22683e-06
874.932 1.23362e-06
879.399 1.2404e-06
883.866 1.24718e-06
888.332 1.25396e-06
892.799 1.26073e-06
897.266 1.26749e-06
901.732 1.27425e-06
906.199 1.28101e-06
910.666 1.28776e-06
915.133 1.2945e-06
919.599 1.30125e-06
924.066 1.30798e-06
928.533 1.31472e-06
932.999 1.32144e-06
937.466 1.32817e-06
941.933 1.33489e-06
946.399 1.3416e-06
950.866 1.34831e-06
955.333 1.35502e-06
959.8 1.36172e-06
964.266 1.36841e-06
968.733 1.37511e-06
973.2 1.38179e-06
977.666 1.38848e-06
982.133 1.39516e-06
986.6 1.40183e-06
991.067 1.4085e-06
995.533 1.41517e-06
1000 1.42183e-06
